reference,contents
15.1:25.1.1,"Γῆ πᾶσα ξηραντικὴν ἔχει δύναμιν, καὶ ὅταν γε ἀκριβῶς ᾖ πυρώ δους ἄμικτος οὐσίας, ἀδηκτότατα ξηραίνει· συντελεῖ δ' εἰς τοῦτο αὐτῇ"
15.1:25.2.1,Ἡ δὲ Σαμία γῆ ψυκτικὴν μετρίως ἔχει δύναμιν.
15.1:25.3.1,Ῥυπτικὴν δὲ δύναμιν ἔχει μετρίαν πάνυ Σελινουσία τε γῆ καὶ Χία καὶ
15.1:25.4.1,"Ἡ δὲ Κιμωλία μικτῆς οὖσα δυνάμεως ἔχει μέν τι καὶ ψυκτικόν, ἔχει δέ τι καὶ διαφορητικὸν βραχύ· διὸ πλυθεῖσα μὲν ἀποτίθεται τοῦτο, χωρὶς δὲ τοῦ πλυθῆναι"
15.1:25.5.1,παρὰ δὲ τὴν τῶν μιγνυ μένων ὑγρῶν αὐτῇ δύναμιν ἐναργῶς ἐπιδείκνυται τῶν δυνάμεων ἑκατέραν· τοῖς μὲν γὰρ ἀποκρουομένοις καὶ ψύχουσι μιχθεῖσα τὸν γινόμενον ἐξ αὐτῆς τε κἀκείνων πηλὸν ἐργάζεται ψύχοντά τε καὶ
15.1:25.6.1,"Ἡ δ' ἀμπε λῖτις γῆ φαρμακωδεστέρα τυγχάνουσα ξηραίνει καὶ διαφορεῖ, τὸ ἄδηκτον καὶ παρηγορικὸν οὐκ ἔχουσα, καθάπερ ἡ Σαμία τε καὶ ἡ Χία καὶ ἡ"
15.1:25.7.1,Σελινουσία.
15.1:25.7.1,Καὶ ἡ Κιμωλία δὲ βραχὺ τούτων ἰσχυροτέρα τυγχά
15.1:25.8.1,"Καὶ ἡ Κρητικὴ δὲ γῆ παραπλησία πώς ἐστι ταύταις, ἀλλ' ἱκανῶς ἀσθενὴς ὑπάρχει, πολὺ τὸ ἀερῶδες ἔχουσα· τὸ μέντοι ῥυπτικὸν ἔχει."
15.1:25.8.1,Τούτων δὲ πασῶν ἡ Λημνία δύναμιν ἰσχυροτέραν ἔχει· πρόσεστι γὰρ αὐτῇ <τι>
15.1:25.10.1,"Ἡ δ' Ἐρετριὰς ἔτι καὶ ταύτης ἰσχυροτέρα, οὐ μὴν ὥστε ἤδη δάκνειν· ἂν δὲ καὶ πλυθῇ, πάνυ μετρία γίνεται παραπλησίως"
15.1:25.11.1,καὶ μέντοι καὶ καίουσιν αὐτὴν ἔνιοι ποιοῦντες
