e_vol,e_p_start,e_p_end,book_no,chapter_no,section_no,subsection_no,book_no_gr,chapter_no_gr,subsection_no_gr,chapter_gr,section_gr,lemma_gr,var_par_prod_gr,entry_gr,lemma_en,var_par_prod_en,entry_en,cat
1,6,7,1,1,,,α´,α´,,ἶρις Ἰλλυρική; ἶρις Μακεδονική; ἶρις Λιβυκὴ,,ἶρις Ἰλλυρική; ἶρις Μακεδονική; ἶρις Λιβυκὴ,"ἄνθη, ῥίζαι, φύλλα, λευκή, πικρά, ὑγρά","ἶρις Ἰλλυρικὴ φύλλα φέρει ὅμοια ξιφίῳ, μείζονα δὲ καὶ πλατύτερα καὶ λιπαρώτερα, ἄνθη ἐπὶ καυλῶν παράλληλα, ἐπικαμπῆ, ποικίλα· ἢ γὰρ λευκὰ ἢ [ὠχρὰ] ἢ μήλινα ἢ πορφυρᾶ ἢ κυανίζοντα ὁρᾶται, ὅθεν διὰ τὴν ποικιλίαν ἀπεικάσθη Ἴριδι οὐρανίᾳ. ῥίζαι δὲ ὕπεισι γονατώδεις, στερεαί, εὐώδεις, ἃς δεῖ μετὰ τὴν τομὴν ξηράναντας ἐν σκιᾷ καὶ διείραντας λίνῳ ἀποτίθεσθαι. ἔστι δὲ βελτίων ἡ Ἰλλυρικὴ καὶ Μακεδονική, καὶ ταύτης ἀρίστη ἡ πυκνόρριζος καὶ ὑποκόλοβος καὶ δύσθραυστος καὶ τῇ χρόᾳ ὑπόκιρρος καὶ σφόδρα εὐώδης καὶ τῇ γεύσει πυρω δεστέρα τήν τε ὀσμὴν εἰλικρινὴς καὶ μὴ νοτίζουσα πταρμούς τε ἐν τῷ κόπτεσθαι κινοῦσα. ἡ δὲ Λιβυκὴ λευκή τέ ἐστι τὴν χρόαν τῇ τε γεύσει πικρά, δευτερεύουσα δὲ τῇ δυνάμει. παλαιούμεναι δὲ τερηδονίζονται, εὐωδέστεραι μέντοι τότε γίνονται. 2 δύναμιν δὲ ἔχουσι πᾶσαι θερμαντικήν, λεπτυντικήν, ἁρμόζουσαι πρὸς βῆχας καὶ τὰ δυσανάγωγα ὑγρὰ λεπτοποιοῦσαι. καθαίρουσι δὲ πάχη καὶ χολὰς ποτιζόμεναι μεθ᾿ ὑδρομέλιτος δραχμῶν ἑπτά. εἰσὶ δὲ καὶ ὑπνοποιοὶ καὶ δακρυοποιοὶ καὶ στρόφους ἰῶνται. μετ᾿ ὄξους δὲ πινόμεναι θηριοδήκτοις ἀρήγουσι καὶ σπληνικοῖς καὶ σπωμένοις καὶ περιψυχομένοις ἢ ῥιγοῦσι καὶ τοῖς γόνον προιεμένοις, σὺν οἴνῳ δὲ ποθεῖσαι ἄγουσιν ἔμμηνα. καὶ τὸ ἀπόζεμα δὲ αὐτῶν πρὸς γυναικείας πυρίας εὔθετον, μαλάσσον τοὺς τόπους καὶ ἀναστομοῦν, ἰσχιάδος τε ἔγκλυσμα, καὶ συρίγγων καὶ κόλπων σαρκωτικόν. προστεθεῖσαι 3 δὲ ὡς κολλύριον μετὰ μέλιτος ἔμβρυα κατασπῶσι, καὶ μαλάσσουσι δὲ χοιράδας καὶ σκιρρώματα παλαιὰ ἑφθαὶ καταπλασθεῖσαι. ξηραὶ δὲ πληροῦσιν ἕλκη καὶ ἀνακαθαίρουσι μετὰ μέλιτος καὶ τὰ ἐψιλωμένα τῶν ὀστέων σαρκοῦσιν. ὠφελοῦσι δὲ καὶ κεφαλαλγίας σὺν ὄξει καὶ ῥοδίνῳ καταπλασθεῖσαι, φακούς τε καὶ ἐφήλεις ἀποκαθαίρουσι σὺν ἐλλεβόρῳ λευκῷ διπλασίονι καὶ μέλιτι καταχρισθεῖσαι. μείγνυνται δὲ καὶ πεσσοῖς καὶ μαλάγμασι καὶ ἀκόποις, καὶ καθόλου εἰσὶ πολύχρηστοι.",Iris,,"1. The Illyrian iris bears leaves like the corn flag, but larger, wider, and fatter, and flowers parallel on stems, curling, and in many colors: for one sees them either white or quince-yellow or purple or bluish. It is because of this diversity of color that it has been likened to the heavenly rainbow. The roots are below ground, articulated, firm, and aromatic. After cutting them, you must dry them in the shade, thread them with a linen string, and store them. Illyrian and Macedonian irises are superior and of these the best are matted and stunted, hard to break, yellowish in color, highly aromatic, rather spicy in taste, pure in scent, not clammy, and ptarmic when cut. The Libyan iris is both white in color and bitter in taste, and it ranks second in strength. As irises age, they become worm-eaten, but it is then that they become more fragrant. 2. All irises have wanning and attenuating properties that are suitable for coughs and for thinning fluids hard to bring up. Seven drachmai in weight drunk in hydromel purge thick fluids and bile. They induce sleep, they cause eyes to tear, and they cure colic. When drunk with vinegar they help those bitten by wild animals, splenetics, people who have spasms, hypothermics or shiverers, and those who ejaculate prematurely, and when drunk with wine they draw down the menses. Their decoction, too, is suitable for women’s vapor baths, softening and dilating the genitalia, it is a clyster for hip disease, and it fleshes up both ducts and hollows. 3. Applied like a pessary with honey, the roots draw down embryos/fetuses, and when used boiled as cataplasms they soften scrofulous gland swellings and old indurations. Dried, they fill up ulcers, they cleanse them with honey, and they flesh up bones stripped of flesh. Plastered on with vinegar and unguent of roses, they help for headaches and they clear away birthmarks and heckles when smeared with twice as much white hellebore. They are compounded with pessaries, emollients, and analgesics, and on the whole they are useful for many purposes.",
1,8,8,1,2,,,α´,β´,,ἄκορον,,ἄκορον,"ῥίζα, φύλλα, χυλός, λευκόν","ἄκορον τὰ μὲν φύλλα ἔχει ἐμφερῆ ἴριδι, στενότερα δέ, καὶ τὰς ῥίζας δὲ οὐκ ἀνομοίους, διαπεπλεγμένας δὲ καὶ οὐκ εἰς εὐθὺ πεφυκυίας, ἀλλὰ πλαγίας καὶ ἐξ ἐπιπολῆς, γόνασι διειλημμένας, ὑπολεύκους, δριμείας δὲ τῇ γεύσει καὶ τῇ ὀσμῇ οὐκ ἀηδεῖς. διαφέρει δὲ τὸ πυκνὸν καὶ λευκὸν ἄβρωτόν τε καὶ πλῆρες εὐωδίας. τοιοῦτο δέ ἐστι τὸ ἐν Κολχίδι καὶ τὸ ἐκ τῆς Γαλατίας δὲ ἄσπληνον λεγόμενον. 2 δύναμιν δὲ ἔχει ἡ ῥίζα θερμαντικήν. πινόμενον δὲ τὸ ἀπόζεμα οὖρα κινεῖ, ἁρμόζον πρὸς πλευρᾶς πόνους καὶ θώρακος καὶ ἥπατος, στρόφους, ῥήγματα, σπάσματα, σπλῆνάς τε τήκει· ὠφελεῖ καὶ στραγγουριῶντας, θηριοδήκτους, καὶ εἰς ἐγκάθισμα ὡς ἶρις πρὸς τὰ γυναικεῖα. ὁ δὲ χυλὸς τῆς ῥίζης ἀποκαθαίρει τὰ ἐπισκοτοῦντα ταῖς κόραις· μείγνυται δὲ καὶ ταῖς ἀντιδότοις ῥίζα χρησίμως.",Yellow flag,,"1. The yellow flag has leaves that resemble the leaves of iris but narrower, and it has roots that are not unlike those of iris, except they are entangled and they do not grow straight down but sideways and at the surface of the ground, being marked with knobs, and they are somewhat white, pungent in taste and not unpleasant in scent. Best is that which is thick and white, not worm-eaten, and full of scent. Such is the one in Colchis and the one from Galatia, called asplenon 2. The root has a warming property. Its decoction is diuretic when drunk; it is suitable for pains in the side, chest, and liver, for colic, ruptures, spasms, and it reduces the spleen; it helps those suffering from strangury, those bitten by wild animals, and it is used in sitz baths for female complaints, just like iris. The juice of its root gets rid of those elements that cast a shadow over the pupils of the eyes. The root is compounded beneficially also with antidotes.",
1,9,9,1,3,,,α´,γ´,,μῆον,,μῆον,,"μῆον τὸ καλούμενον Ἀθαμαντικὸν γεννᾶται πλεῖστον ἐν Μακεδονίᾳ καὶ Σπανίᾳ, ὅμοιον τῷ καυλῷ καὶ τοῖς φύλλοις ἀνήθῳ, παχύτερον δὲ τοῦ ἀνήθου, δίπηχύ που ἀναβαῖνον, ταῖς ῥίζαις ὑπεσπαρμένον λεπταῖς, πλαγίαις καὶ εὐθείαις, μακραῖς, εὐώδεσι, θερμαινούσαις τὴν γλῶτταν, αἵτινες ἀποζεσθεῖσαι μεθ᾿ ὕδατος ἢ καὶ λεῖαι δίχα ἑψήσεως ποθεῖσαι τὰ στεγνὰ περὶ κύστιν καὶ νεφροὺς πάθη παρηγοροῦσι καὶ δυσουρίαις ἁρμόζουσι, στομάχου τε ἐμπνευματώσεσι καὶ στρόφοις, ὑστερικαῖς τε διαθέσεσι καὶ ἄρθρων πόνοις, θώρακί τε ῥευματιζομένῳ σὺν μέλιτι λεῖαι ἀντὶ ἐκλεικτοῦ βοηθοῦσιν, αἷμά τε ἄγουσι δι᾿ ἐμμήνων ἀποζεσθεῖσαι εἰς ἐγκάθισμα, παιδίων δὲ καταπλασθέντος τοῦ ἐφηβαίου οὖρα ἄγουσιν. ἔστι δὲ καὶ κεφαλαλγὲς πλεῖον ἢ δεῖ πινόμενον.",Baldmoney,,"The spignel called Athamantic grows lavishly in Macedonia and Spain. In stalk and leaves it resembles the dill, but it is stouter than dill, shooting up to a height of about two cubits, spreading over its roots, which are delicate, horizontal and straight, long, aromatic, and warming the tongue. Boiled in water or even ground fine and drunk without previous cooking, the roots relieve dry conditions around the bladder and kidneys, they are suitable for difficult micturition, for stomach gas and for colic, for uterine conditions, and for pains in the joints. Ground up fine with honey, they are helpful, in lieu of a lozenge, for chest rheums; boiled for a sitz bath they draw down blood through the menses and when plastered on the pubes of youngsters they set micturition going. But it does also cause headaches if drunk in amounts greater than recommended.",
1,10,10,1,4,,,α´,δ´,,κύπερος,,κύπερος,"ῥίζαι, φύλλα, ξηρά","κύπερος· οἱ δὲ ἐρυσίσκηπτρον ὡς τὴν ἀσπάλαθον καλοῦσιν. ἔχει φύλλα ὅμοια πράσῳ, μακρότερα δὲ καὶ ἰσχνότερα, καυλὸν δὲ πηχυαῖον ἢ καὶ μείζονα, γωνιώδη, ὅμοιον σχοίνῳ, οὗ κατὰ κορυφὴν φυλλαρίων ἐστὶν ἔκφυσις μικρῶν καὶ σπέρματος. ῥίζαι δ᾿ ὕπεισιν, ὧν καὶ ἡ χρῆσις, ὥσπερ ἐπιμήκεις ἐλαῖαι συναφθεῖσαι ἑαυταῖς ἢ καὶ στρογγύλαι, μέλαιναι, εὐώδεις, ἔμπικροι. φύεται δὲ ἐν τόποις ἐργασίμοις καὶ τελματώδεσιν. ἀρίστη δέ ἐστιν ἡ βαρυτάτη καὶ πυκνή, ἁδρὰ καὶ δύσθραυστος, τραχεῖα, εὐώδης μετά τινος δριμύτητος. τοιαύτη δέ ἐστιν ἡ Κιλίκιος καὶ ἡ Συριακὴ καὶ ἡ ἀπὸ τῶν Κυκλάδων νήσων. 2 δύναμις δέ ἐστιν αὐτῆς θερμαντική, ἀναστομωτική, διουρητικὴ ἐπὶ λιθιώντων καὶ ὕδρωπος πινομένη. βοηθεῖ δὲ καὶ σκορπιοπλήκτοις, καὶ πρὸς τὰς περὶ μήτραν καταψύξεις καὶ μύσεις πυριωμένη ἁρμόζει, ἄγουσα ἔμμηνα. ποιεῖ δὲ καὶ τοῖς ἐνστομίοις ἕλκεσι καὶ νεμομένοις ξηρὰ λεῖα· μείγνυται καὶ μαλάγμασι θερμαντικοῖς καὶ εἰς τὰ στύμματα τῶν μύρων εὐχρηστεῖ.",Galingale,,"1. The galingale; some call it erysisceptron as they call the camel’s- thom. It has leaves resembling those of leek but longer and more slender, a stem a cubit tall or even taller, angular, like the stem of camel hay, at the top of which there is an outgrowth of small leaflets and of seed. Also the roots, for which the plant is used, grow below ground, just like elongated olives linked with each other, or they are even round, black, aromatic, and bitter. It grows in cultivated and marshy areas. Best is that which is very heavy and thick, bulky and hard to break, rough, aromatic with a touch of pungency. Such is the Cilician, the Syrian, and the one from the Cycladic islands. 2. It has properties that warm, open, and that are diuretic, operating on patients with kidney stones and edemata when drunk. It helps people stung by scorpions and it is good for uterine chills and closings when used in vapor baths, drawing down the menses. Dried up and ground fine, it is effective in the treatment both of mouth sores and of spreading ulcers. It is mixed with heat-producing emollients and it is serviceable for thickening unguents.",
1,10,10,1,5,,,α´,ε´,,ἕτερον εἶδος κυπέρου,,ἕτερον εἶδος κυπέρου,,"ἱστορεῖται δὲ καὶ ἕτερον εἶδος κυπέρου ἐν Ἰνδίᾳ γεννώμενον, προσεοικὸς ζιγγιβέρει, ὃ διαμασηθὲν κροκῶδες, πικρὸν εὑρίσκεται, καταχρισθὲν δὲ παραχρῆμα ψιλοῖ τὰς τρίχας.",Another kind of Galingale,,"It is reported that there is also another kind of galingale that grows in India. It resembles ginger, it is saffron-colored and bitter when chewed, and it is a fast-acting depilatory when smeared on.",
1,11,11,1,6,,,α´,ϛ´,,καρδάμωμον,,καρδάμωμον,,"καρδάμωμον ἄριστον τὸ ἐκ τῆς Κομμαγηνῆς καὶ Ἀρμενίας καὶ βοσπόρου κομιζόμενον· γεννᾶται δὲ καὶ ἐν Ἰνδίᾳ καὶ Ἀραβίᾳ. ἐκλέγου δὲ τὸ δύσθραυστον, πλῆρες, μεμυκός — τὸ γὰρ μὴ τοιοῦτον ἔξωρόν ἐστι — καὶ τὸ τῇ ὀσμῇ δὲ πληκτικόν, γεύσει δὲ δριμὺ καὶ ὑπόπικρον. δύναμιν δὲ ἔχει θερμαντικήν ποιεῖ δὲ πινόμενον μεθ᾿ ὕδατος πρὸς ἐπιλημπτικούς, βήττοντας, ἰσχιαδικοὺς καὶ πρὸς παράλυσιν, ῥήγματα, σπάσματα, στρόφους καὶ ἕλμινθα πλατεῖαν ἐκβάλλει. μετ᾿ οἴνου δὲ πινόμενον νεφριτικοῖς, δυσουροῦσι, σκορπιοπλήκτοις καὶ πᾶσι τοῖς ἰοβόλοις ἁρμόζει. μετὰ δὲ δάφνης ῥίζης φλοιοῦ ποθεῖσα δραχμὴ μία λίθους θρύπτει· φθείρει καὶ ἔμβρυα ὑποθυμιώμενον καὶ ψώρας ἐξαίρει σὺν ὄξει καταχριόμενον. μείγνυται δὲ καὶ εἰς τὰς τῶν μύρων στύψεις.",Cardamom,,"Cardamom is best if it comes from Commagene, Armenia, and the Bosporus. It grows also in India and in Arabia. Be sure to choose that which is hard to break, full, closed—^for if it is not closed, it is unsuitable—overpowering in scent, pungent in taste, and somewhat bitter. It has a warming property. When drunk with water, it is good for epileptics, coughs, for patients suffering from hip disease, for paralysis, for ruptures, spasms, colic, and it gets rid of the intestinal flatworm. Drunk with wine, it is suitable for those suffering from kidney dysfunction, difficult micturition, scorpion stings, and for all animal venoms. One drachma drunk with the bark of the root of sweet bay breaks stones. When burned to produce smoke from below, it also destroys embryos/fetuses, and, when smeared on with vinegar, it gets rid of mange. It is also used to thicken perfumes.",
1,12,12,1,7,,,α´,ζ´,,νάρδος,,νάρδος,"πηλός, λευκόν, μικρόν, ξανθή, πικρά","νάρδου ἐστὶ γένη δύο· ἡ μὲν γάρ τις καλεῖται Ἰνδικὴ ἡ δὲ Συριακή, οὐχ ὅτι ἐν Συρίᾳ εὑρίσκεται, ἀλλ᾿ ὅτι τοῦ ὄρους ἐν ᾧ γεννᾶται τὸ μὲν πρὸς Συρίαν τέτραπται τὸ δὲ πρὸς Ἰνδούς. καὶ τῆς λεγομένης Συριακῆς ἐστι βελτίων ἡ πρόσφατος καὶ κούφη, πολύκομος, ξανθὴ τὴν χρόαν, εὐώδης ἄγαν καὶ μετὰ τοῦ κυπερίζειν ἐν τῇ ὀσμῇ μικρὸν ἔχουσα τὸν στάχυν, πικρὰ τὴν γεῦσιν καὶ τῆς γλώττης ἀναξηραντικὴ ἐπιμένουσά τε τῇ εὐωδίᾳ ἐφ᾿ ἱκανόν. τῆς δὲ Ἰνδικῆς ἡ μέν τις λέγεται Γαγγῖτις 2 ἀπό τινος ποταμοῦ παραρρέοντος τοῦ ὄρους, Γάγγου καλουμένου, παῤ ᾧ φύεται, ἀσθενεστέρα κατὰ δύναμιν οὖσα διὰ τὸ ἐφ᾿ ὑδατωδῶν τόπων εἶναι καὶ ἐπιμηκεστέρα, πλείους τε ἔχουσα τοὺς στάχυας ἀπὸ τῆς αὐτῆς ῥίζης καὶ πολυκόμους καὶ περιπεπλεγμένους, βρωμώδεις κατὰ τὴν ὀσμήν. ἡ δὲ ὀρεινοτέρα εὐωδεστέρα, κολοβόσταχυς, κυπερίζουσα κατὰ τὴν εὐωδίαν ἔχουσά τε καὶ τὰ ἄλλα ἐν αὑτῇ, ὅσαπερ καὶ ἡ Συριακὴ λεγομένη. καλεῖται δέ τις καὶ Σαμφαριτικὴ ἀπὸ χωρίων ὠνομασμένη, υεγαλόσταχυς, λευκοτέρα, καυλὸν ἔσθ᾿ ὅτε μέσον ἔχουσα, ὑπερτραγίζοντα τῇ ὀσμῇ, ἣν δεῖ ἀπεκλέγεσθαι. 3 πιπράσκεται δὲ καὶ ἀποβεβρεγμένη, ὅπερ γινώσκεται ἐκ τοῦ λευκὸν εἶναι τὸν στάχυν καὶ αὐχμηρὸν καὶ μὴ ἔχειν τὸν χνοῦν. δολίζουσι δὲ αὐτὴν ἐμφυσῶντες στίβι μεθ᾿ ὕδατος ἢ οἴνου φοινικίτου πρὸς τὸ συμπιλοῦσθαι αὐτὴν καὶ βαρυτέραν γίνεσθαι. ἐπὶ δὲ τῆς χρείας ἀφαιρεῖν δεῖ, εἰ προσείη ταῖς ῥίζαις πηλός, καὶ σήθειν χωρίζοντας τὸν κονιορτὸν εὐχρηστοῦντα εἰς χειρόνιπτρον. δύναμιν δὲ ἔχουσι θερμαντικήν, ξηραντικήν, οὐρητικήν, ὅθεν κοιλίαν τε ἱστᾶσι πινόμεναι καὶ τὰς ἐκ μήτρας ῥύσεις προστιθέμεναι καὶ ἰχῶρας στέλλουσι. 4 βοηθοῦσι δὲ καὶ ναυτίαις σὺν ψυχρῷ ὕδατι πινόμεναι καὶ καρδιωγμοῖς καὶ ἐμπνευματικοῖς ἡπατικοῖς τε καὶ ἰκτερικοῖς καὶ νεφριτικοῖς. ἐναφεψηθεῖσαι δὲ ὕδατι καὶ πυριαθεῖσαι εἰς ἐγκάθισμα φλεγμονὰς μήτρας ἰῶνται· ποιοῦσι καὶ πρὸς τὰς ἐν ὀφθαλμοῖς μυδήσεις τῶν βλεφάρων, στύφουσαι καὶ δασύνουσαι τὰς βλεφαρίδας, καθύγροις τε σώμασι διάπασμα· μείγνυνται δὲ καὶ ἀντιδότοις. ἀποτίθενται δὲ εἰς τὰ ὀφθαλμικὰ ἐν ἀγγείῳ καινῷ ἀκωνήτῳ λειοτριβηθεῖσαι σὺν οἴνῳ καὶ ἀναπλασθεῖσαι.",Spikenard,,"1. There are two kinds of spikenard; one is called Indian spikenard and the other Syrian, not because it is found in Syria, but because one part of the mountain on which it grows faces Syria and the other India. And of the one called Syrian the best is Ifesh and light, abounding in down, yellow in color, highly aromatic, and besides resembling galingale in smell, it has a short spike, it is bitter in taste, it dries up the tongue, and its scent lingers on for a while. 2. Of the Indian spikenard, there is one called (iangitis, taking its name from a river called Ganges, which flows close to the mountain on which it grows. It is a rather weak plant, because it is found on wetlands, and it is somewhat tall, having several spikes growing from the same root that are full of down, entangled, and foul-smelling. But that which grows on higher elevations is more aromatic, its spikes are shorter, it smells like galingale, and it possesses all the qualities that the one called Syrian also possesses. There is also a spikenard called Sampharitic, named so from a district;*’ it has large spikes, it is fighter in color, and at times it has a middle stem smelling as rank as a he- goat; you must pick it out and reject it. 3. Spikenard is also sold soaked; one knows if it has been soaked because its spike is white, rough, and devoid of down. They adulterate it by blowing into it powdered antimony combined with water or date palm wine to compress it and to make it heavier. To use it, you must remove any earth that may adhere to the roots and sift it, separating the cloud of dust, which is very useful for hand washing. They have warming, desiccative, and diuretic properties and so, when drunk, they bind the bowel, and, when applied as a pessary, they stem uterine excretions and serous discharges. 4. When drunk with cold water, they are helpful for nausea, heart­ bum, flatulence, liver ailments, jaundice, and renal dysfunctions. Boiled down with water and used for vapors in a sitz bath, they heal uterine inflammations. They are good for purulent blepharitis, toning the eyelids and furthering the growth of eyelashes, and they are used as a scented body powder against excessive perspiration. They are mixed with antidotes, too. Triturated with wine and molded, they are stored in a new, unpitched vessel for eye medications.",
1,13,13,1,8,,,α´,η´,,Κελτικὴ νάρδος,,Κελτικὴ νάρδος,"ἄνθος, ἧπαρ, φύλλα, πόα","ἡ δὲ Κελτικὴ νάρδος γεννᾶται μὲν ἐν ταῖς κατὰ Λιγυρίαν Ἄλπεσιν, ἐπιχωρίως ὠνομασμένη σαλιούγκα· γεννᾶται δὲ καὶ ἐν τῇ Ἰστρίᾳ. ἔστι δὲ θαμνίσκος μικρὸς σὺν ταῖς ῥίζαις εἰς δέσμας ἀναλαμβανόμενος χειροπληθεῖς, ἔχει δὲ φύλλα ἐπιμήκη, ὑπόξανθα, ἄνθος μήλινον. μόνων δὲ τῶν καυλῶν ἐστι καὶ τῶν ῥιζῶν ἡ χρῆσις καὶ ἡ εὐωδία, ὅθεν δεῖ πρὸ μιᾶς ἡμέρας καταρράναντας ὕδατι τὰς δέσμας καὶ χωρίζοντας τὸ γεῶδες τιθέναι ἐπ᾿ ἐδάφους νοτεροῦ προυποκειμένου χαρτίου, τῇ δὲ ὑστεραίᾳ καθαίρειν· οὐ γὰρ συναποκαθαίρεται τῷ ἀχυρώδει καὶ ἀλλοτρίῳ τὸ εὔχρηστον διὰ τὴν ἐκ τῆς ἰκμάδος εὐτονίαν. δολίζεται δὲ συναποτιλλομένης αὐτῇ πόας ἐμφεροῦς, ἣν διὰ τὸ 2 περὶ τὴν ὀσμὴν βρωμῶδες τράγον καλοῦσιν. εὐχερὴς δὲ ἡ ἐπίγνωσις· ἄκαυλός τε γάρ ἐστιν ἡ πόα καὶ λευκοτέρα καὶ ἧττον ἐπιμήκη τὰ φύλλα ἔχει οὐδὲ τὴν ῥίζαν πικρὰν ἢ ἀρωματίζουσαν ὥσπερ ἐπὶ τῆς ἀληθινῆς ἔχει. ἀποκρίνας οὖν τὰ καυλία καὶ τὰς ῥίζας, τὰ δὲ φύλλα ῥίψας, εἰ βούλοιο ἀποτίθεσθαι, ἀναλαμβάνων οἴνῳ λεῖα καὶ τροχίσκους ἀναπλάσας φύλασσε ἐν ὀστρακίνῳ ἀγγείῳ καινῷ, πωμάζων ἐπιμελῶς. ἀρίστη δέ ἐστιν ἡ πρόσφατος καὶ ἡ εὐώδης, πολύρριζος, οὐκ εὔθρυπτος, πλήρης. δύναται δὲ ὅσα καὶ ἡ Συριακή, διουρητικωτέρα καὶ εὐστομαχωτέρα 3 οὖσα. ὠφελεῖ δὲ καὶ τὰς περὶ ἧπαρ φλεγμονὰς καὶ ἰκτερικοὺς καὶ πνευματώσεις στομάχου μετὰ ἀφεψήματος ἀψινθίου πινομένη, ὁμοίως καὶ σπλῆνα καὶ τὰ περὶ τὴν κύστιν καὶ νεφρούς, καὶ πρὸς ἰοβόλων δήγματα σὺν οἴνῳ, καὶ εἰς τὰ μαλάγματα μείγνυται καὶ ποτίσματα καὶ χρίσματα θερμαντικά.",Celtic spikenard,,"1. The Celtic spikenard grows in the Alps, around Liguria. The locals call it saliunca-, but it grows also in Istria.’’ It is a small shrub that is pulled up with its roots in bundles that are as big as a handful. It has oblong and yellowish leaves and a quince-yellow flower. Only the stems and roots are useful and aromatic. Therefore you must lay them on the ground on top of moist papyrus, having doused the bundles with water the day before and removed the soil, and on the following day you must cleanse them. For its serviceable component is not washed off together with the chaffy and foreign matter on account of the vitality it gains from the moisture. 2. But it is adulterated with a similar herb that is plucked with it, called he-goat, because of its stench. Its identification is easy because this herb has no stalk, it has leaves that are lighter in color and shorter. and its root is neither as bitter nor as aromatic as the real one. After separating then the stems and roots and discarding the leaves, if you should wish to put them up, combine them ground up with wine and after shaping the mixture into disks, keep them in a new clay pot, sealing it carefully. Excellent is that which is fresh and aromatic, heavily rooted, not easily broken, and full. 3. It does accomplish everything that Syrian spikenard accomplishes, although it is more diuretic and better for the stomach. It helps for inflammations around the liver, the jaundiced, and for stomach gas when drunk with a decoction of wormwood Artemisia absinthum', it helps similarly the spleen, conditions associated with the bladder and kidneys, venomous bites when drunk with wine, and it is incorporated into emollients, draughts, and warming salves.",
1,14,14,1,9,,,α´,θ´,,ὀρεινὴ νάρδος,,ὀρεινὴ νάρδος,"ἄνθος, ῥίζα, ῥίζαι, φύλλα, θυλακῖτις, μικροτέρα","ἡ δὲ ὀρεινὴ νάρδος, καλουμένη δὲ ὑπό τινων καὶ θυλακῖτις καὶ πυρῖτις, γεννᾶται ἐν Κιλικίᾳ καὶ Συρίᾳ, καὶ φύλλα καὶ καυλοὺς ὅμοια ἠρυγγίῳ ἔχουσα, μικρότερα μέν, οὐ μὴν τραχέα καὶ ἀκανθώδη. ῥίζαι δὲ ὕπεισι μέλαιναι, εὐώδεις, δύο ἢ καὶ πλείους ὥσπερ ἀσφοδέλου, ἰσχνότεραι δὲ καὶ μικρότεραι πολλῷ· οὔτε δὲ [καυλὸν οὔτε] καρπὸν οὔτε ἄνθος φέρει. ποιεῖ δὲ ἡ ῥίζα πρὸς ὅσα καὶ ἡ Κελτικὴ νάρδος.",Mountain spikenard,,"The mountain spikenard, which is called by some both thylacitis and pyritis, grows in Cilicia and Syria. It has leaves and stems resembling those of eryngo, but smaller and not in the least jagged or prickly. Its roots are below ground, black, aromatic, two or even more, like those of asphodel, although they are finer and considerably shorter. It bears neither fruit nor flower. Its root is good for all the things for which Celtic spikenard is good.",
1,15,15,1,10,,,α´,ι´,,ἄσαρον,,ἄσαρον,"ἄνθος, ῥίζαι, σπέρμα, φύλλα, λευκός","ἄσαρον, οἱ δὲ νάρδον ἀγρίαν καλοῦσι· φύλλα ἔχει κισσῷ ὅμοια, μαλακώτερα δὲ πολλῷ καὶ στρογγυλώτερα, ἄνθος τῶν φύλλων πρὸς τῇ ῥίζῃ πορφυροῦν, ὑοσκυάμου κυτίνῳ ἐμφερές, ἐφ᾿ ᾧ τὸ σπέρμα ἐοικὸς γιγάρτῳ. ῥίζαι δὲ ὕπεισι πολλαί, γονατώδεις, λεπταί, πλάγιαι, ὅμοιαι ἀγρώστει, ἰσχνότεραι μέντοι πολλῷ καὶ εὐώδεις, θερμαίνουσαι καὶ δάκνουσαι λίαν τὴν γλῶσσαν. δύναμις δὲ αὐτῶν οὐρητική, θερμαντική, ἁρμόζουσα ὑδρωπικοῖς, 2 ἰσχιάδι χρονίᾳ· ἄγουσι δὲ καὶ ἔμμηνα. μετὰ μελικράτου δὲ ποθεῖσαι, πλῆθος ὁλκῆς οὐγγιῶν ἑπτά, ὡς ἐλλέβορος λευκὸς καθαίρουσι· μείγνυνται δὲ καὶ μύροις. φύεται δὲ ἐν ὑποσκίοις ὄρεσι, πλεῖστα δὲ ἐν Πόντῳ καὶ ἐν Φρυγίᾳ καὶ Ἰλλυρίδι καὶ ἐν Οὐεστίνοις τῆς Ἰταλίας.",Hazelwort,,"1. The hazelwort, but some call it wild spikenard. It has leaves hke those of ivy, although they are much softer and rounder, and a flower growing between its leaves, purple at the base, resembling the calyx of henbane, and whereon lies the fruit looking like a grape seed. Its numerous roots are underground, angular, delicate, oblique, resembling dogtooth grass, but they are much more delicate and they are aromatic, warming and biting the tongue a great deal. 2. Their properties are diuretic and warming, being suitable for those suffering from edemata and from chronic hip disease. They also draw down the menses. An amount of seven oungiai by weight drunk with hydromel is purgative just like white hellebore. They are mixed also with unguents. It grows on shaded mountains, abundantly so in the Pontic region, in Phrygia, in Illyria, and in the territory of the Vestini of Italy.",
