patch_id,book_no,chapter_no,new_lemma_en,new_chapter_gr,new_lemma_gr,new_entry_gr,new_entry_en,notes
B2_178_RV,2,178_RV,Another argemone,ἀργεμώνη ἑτέρα,ἀργεμώνη ἑτέρα,"[17]8 RV: ἀργεμώνη ἑτέρα· οἱ δὲ ἀργεμώνην ἄρσενα, οἱ δὲ σαρκοκόλλαν, Ῥωμαῖοι ἀργεμώνιαμ· καὶ αὕτη παρέοικε μὲν ἀγρίᾳ μήκωνι τοῖς φύλλοις. δύναμιν δὲ ἔχει αὕτη χλωρὰ τριβομένη λεία καὶ ἐπιτιθεμένη διακοπὰς θεραπεύειν καὶ ὀφθαλμῶν φλεγμονὰς παύειν· ἁρμόζει δὲ καὶ δυσεντερικοῖς σὺν ὕδατι πινομένη, κολλητική τε τραυμάτων καὶ φλεγμονῶν ἐστιν εὔθετος, ὡσαύτως ἐπιτιθεμένη σπασμάτων καὶ τιλμάτων ἐστὶ θεραπευτική· ἁρμόζει καὶ θηριοδήκτος σὺν οἴνῳ [πινομένη.]","Another argemone; some call it male argemone, others sarcocolla; the Romans argemonia. This too resembles the wild poppy in its leaves. In efficacy, when fresh it is pounded smooth and applied, it heals wounds and relieves inflammations of the eyes. It is also suitable for dysenteric patients when drunk with water. It is fit for agglutinating wounds and inflammations, and likewise, when applied, it is therapeutic for spasms and strains. It is also suitable for those bitten by wild beasts when drunk with wine.",Insert after source line 308; resolves duplicate 2.178 block.
B2_181,2,181,Pilewort,χελιδόνιον τὸ μικρόν,χελιδόνιον τὸ μικρόν,"181 χελιδόνιον τὸ μικρόν· οἱ δὲ πυρὸν ἄγριον καλοῦσι. βοτάνιόν ἐστιν ἐκ μόσχων ἀπηρτημένον, ἄκαυλον, φύλλοις κισσοειδέσι, περιφερεστέροις δὲ μᾶλλον καὶ μικροτέροις καὶ τρυφερωτέροις καὶ ὑπολιπαρωτέροις περιεχόμενον. ῥίζας δὲ ἔχει ἐκ τοῦ αὐτοῦ μικράς, πολλάς, ὥσπερ πυροὺς συσσεσωρευμένους· τρεῖς δὲ ἢ τέσσαρές εἰσιν αὐτῶν μακραὶ πεφυκυῖαι. φύεται δὲ παρ᾿ ὕδασι καὶ τέλμασιν. ἔχει δὲ τὴν δύναμιν δριμεῖαν, παραπλησίαν ἀνεμώνῃ, ἑλκοῦσαν τὴν ἐπιφάνειαν, καὶ ψώρας καὶ ὄνυχας λεπροὺς ἀφιστᾷ. αἱ δὲ ῥίζαι χυλωθεῖσαι χρήσιμοι εἰς ῥινὸς ἔγχυσιν μετὰ μέλιτος πρὸς κάθαρσιν κεφαλῆς.","The pilewort: some call it pyros agrios. It is a small herb, hanging loose from leafstalks, stemless, enveloped by ivy-like leaves, but rounder, smaller, tenderer, and less shiny. It has many small roots coming out of the same place like wheat that has been heaped up together; there are three or four of them that grow long. It grows near waters and marshlands. It has a sharp property, nearly resembling that of poppy anemone, ulcerating the skin, and it removes the mange and nails affected by psoriasis. Juice extracted from the root is useful for pouring into the nose with honey to purge the head.",Replace line 311 after cascade shift.
B3_17,3,17,Bear’s-foot,ἄκανθος,ἄκανθος,"17 ἄκανθος· οἱ δὲ μελάμφυλλον, οἱ δὲ παιδέρωτα καλοῦσι. φύεται ἐν παραδείσοις καὶ ἐν πετρώδεσι καὶ ἐνύδροις χωρίοις. ἔχει δὲ φύλλα πολλῷ πλατύτερα καὶ μακρότερα θρίδακος, ἐσχισμένα ὡς τὰ τοῦ εὐζώμου, λιπαρά, λεῖα, μέλανα, καυλὸν δὲ δίπηχυν, λεῖον, πάχος δακτύλου, ἐκ διαστημάτων πρὸς τῇ κορυφῇ φυλλαρίοις περιειλημμένον καί τισιν οἱονεὶ κιτταρίοις ὑπομήκεσιν, ὑακινθώδεσιν, ἐξ ὧν τὸ ἄνθος λευκόν· σπέρμα ὑπομηκες, μήλινον, θυρσοειδὴς δὲ ἡ κεφαλή. 2. ῥίζαι δ᾿ ὕπεισι γλίσχραι, μυξώδεις, ἔμπυρροι, μακραί, αἵτινες πυρικαύστοις καὶ στρέμμασιν ἁρμόζουσι καταπλασσόμεναι· πινόμεναι δὲ οὖρα ἄγουσι καὶ κοιλίαν ἱστᾶσι φθισικοῖς τε καὶ σπάσμασιν ὠφέλιμοι καὶ δήγμασι. γίνεται δὲ καὶ ἀγρία ἄκανθος, ὁμοία σκολύμῳ, ἀκανθώδης, βραχυτέρα τῆς ἐν παραδείσοις καὶ ἡμέρου. δύναται δὲ καὶ ἡ ταύτης ῥίζα, ὅσα καὶ ἡ πρὸ αὐτῆς.",,Terminal recovered Greek payload for cascade stop.
B3_64_RV,3,64_RV,Hierakion,ἱεράκιον τὸ μέγα,ἱεράκιον τὸ μέγα,"[64] RV: ἱεράκιον τὸ μέγα· οἱ δὲ σογχίτην, Ῥωμαῖοι λαπτούκα ἠρράτικα, Ἄφροι σιθιλεσαδέ. καυλὸν ἀνίησιν ὑπέρυθρον, τραχύν, ἀκανθώδη, ὑπόκενον, φύλλα δὲ ἔχει ἐκ διαστημάτων ἐπεσχισμένα ἀραιῶς, σόγχῳ ἐμφερῆ τὴν περιφέρειαν, ἄνθη μήλινα ἐν κεφαλίοις ὑπομήκεσιν. δύναμιν δὲ ἔχει ψυκτικήν, μετρίως ὑποστύφουσαν, ὅθεν στομάχῳ καυσουμένῳ καὶ φλεγμοναῖς καταπλασσόμενον ἁρμόζει. ὁ δὲ χυλὸς καταρροφούμενος δηγμὸν στομάχου πραΰνει, ἡ 2 δὲ πόα σὺν τῇ ῥίζῃ καταπλασθεῖσα σκορπιοπλήκτοις ἀρήγει. ἱεράκιον τὸ μικρόν· οἱ δὲ καὶ τοῦτο σογχίτην καλοῦσιν, οἱ δὲ ἔντυβον ἄγριον, Ῥωμαῖοι ἴντουβουμ ἀγρέστεμ, Ἄφροι σιθιλεσαδέ. φύλλα ἔχει καὶ αὐτὸ ἐκ διαστημάτων ἐπεσχισμένα τὴν περιφέρειαν, καυλία δὲ ἀνίησι τρυφερὰ καὶ χλωρά, ἐν οἷς ἄνθη μήλινα, κύκλον περιγράφοντα. δύναμιν δὲ ἔχει καὶ αὐτὸ τὴν αὐτὴν τῷ [προειρημένῳ.]","Greater hierakion; some call it sonchites; the Romans lactuca erratica; the Africans sithilesade. It sends up a stem that is somewhat reddish, rough, prickly, and hollow. The leaves are cut at intervals, sparsely divided around the edge, resembling sow-thistle in outline. The flowers are apple-yellow, borne in somewhat elongated heads. It has a cooling property, moderately astringent; hence it is suitable as a poultice for a burning stomach and for inflammations. The juice, when swallowed, soothes gnawing of the stomach; and the herb with the root, applied as a poultice, helps those struck by scorpions. Lesser hierakion; some also call this sonchites, others wild endive; the Romans intubum agreste; the Africans sithilesade. It too has leaves cut at intervals around the edge, and it sends up tender green stems bearing apple-yellow flowers arranged in a circular form. It has the same properties as the one previously described.",Split from line 379 tail.
B3_73_RV,3,73_RV,Delphinion,δελφίνιον,δελφίνιον,"[73] RV: δελφίνιον· οἱ δὲ διάχυτος, οἱ δὲ διάχυσις, οἱ δὲ παράλυσις, οἱ δὲ κάμμαρος, οἱ δὲ ὑάκινθος, οἱ δὲ ὕφαιμον, οἱ δὲ ἄρας, οἱ δὲ δελφινιάς, οἱ δὲ Νήρειον, οἱ δὲ Νηρειάδιον, οἱ δὲ σώσανδρον, οἱ δὲ Κρόνιον, Ῥωμαῖοι βουκίνους μίνορ. κλῶνας ἀνίησι δισπιθαμιαίους ἢ καὶ μείζονας ἀπὸ μιᾶς ῥίζης, περὶ οὓς φυλλάρια ἐπεσχισμένα, λεπτά, ἐπιμήκη, δελφινοειδῆ, ὅθεν καὶ ὠνόμασται· ἄνθος δὲ ὅμοιον λευκοΐῳ, ἐμπόρφυρον, σπέρμα ἐν λοβοῖς κέγχρῳ ἐμφερές. 2 τούτου τὸ σπέρμα βοηθεῖ ποθὲν σὺν οἴνῳ σκορπιοπλήκτοις ὡς οὐδὲν ἕτερον· φασὶ δὲ καὶ τοὺς σκορπίους παρατεθείσης τῆς πόας παραλύεσθαι ἀπράκτους τε καὶ ναρκώδεις γίνεσθαι, ὑφαιρουμένης δὲ εἰς τὸ αὐτὸ καθεστάναι. φύεται ἐν τραχέσιν καὶ εὐηλίοις χωρίοις. δελφίνιον ἕτερον· οἱ δὲ ὑάκινθον, Ῥωμαῖοι βουκίνους· καὶ αὐτὸ ἐμφερὲς τῷ πρὸ αὐτοῦ, τοῖς δὲ φύλλοις καὶ τοῖς κλωνίοις ἰσχνότερον πολλῷ, δύναμιν ἔχον καὶ αὐτὸ τὴν αὐτὴν τῷ προειρημένῳ, οὐχ οὕτως δὲ ἐνεργές.","Delphinion; some call it diachytos, others diachysis, others paralysis, others kammaros, others hyacinthos, others hyphaimon, others aras, others delphinias, others Nereion, others Nereiadion, others sosandron, others Kronion; the Romans bucinus minor. It sends up shoots two cubits high or even taller from a single root; around them are leaves cut into slender, elongated segments, dolphin-shaped, whence it takes its name. The flower is like that of the gilliflower, purplish; the seed is in pods, resembling millet. Its seed, taken in drink with wine, helps those struck by scorpions as nothing else does. They also say that if the herb is set before them, scorpions become paralysed, inactive, and torpid, but when it is removed they return to their former state. It grows in rough and sunny places. Another delphinion; some call it hyacinthos; the Romans bucinus. It too resembles the former, but is much more slender in its leaves and shoots. It likewise has the same properties as the one previously described, though it is not so effective.",Overwrite existing line 389.
B4_16_RV,4,16_RV,Saxifrage,σαξίφραγον,σαξίφραγον,"[16 RV: σαξίφραγον· οἱ δὲ σαξίφραγγον, οἱ δὲ ἔμπετρον, οἱ δὲ καὶ τοῦτο σκολοπένδριον, οἱ δὲ βροῦχον καλοῦσιν, Ῥωμαῖοι σαξίφραγαμ, οἱ δὲ σατανάριαμ. ἐστὶ φρυγανῶδες, ἐν πέτραις καὶ τραχέσι τόποις φυόμενον. δύναμιν δὲ ἔχει ἡ πόα λεία ἀπυρέτοις μὲν σὺν οἴνῳ, πυρέσσουσι δὲ ἐν ὕδατι θερμῷ διδομένη ἐν ποτῷ, λίθους τε τοὺς ἐν κύστει θρύπτειν καὶ διʼ οὔρων ἄγειν· εὐθετῶς ἁρμόζει.]","Saxifrage; some call it saxifragos, others empetron, some also scolopendrion, others brouchon; the Romans saxifragam, others satanariam. It is a shrubby plant, growing among rocks and in rough places. The herb, when pounded smooth and given in drink— with wine to those without fever, but to those with fever in warm water— has the power to break up stones in the bladder and to expel them through the urine; it is suitably administered for this purpose.",Split from line 490 tail.
B4_58_RV,4,58_RV,Chrysanthemum,χρυσάνθεμον ἢ χάλκας,χρυσάνθεμον ἢ χάλκας,"[58] RV: χρυσάνθεμον ἢ χάλκας· οἱ δὲ χρυσανθεμίδα, οἱ δὲ χαλκῖτιν, οἱ δὲ χάλκανθον, οἱ δὲ χαλκάνθεμον, οἱ δὲ βούφθαλμον, Ῥωμαῖοι κάλθα, Θοῦσκοι γαρουλέου, Ἄφροι χουρζητά. τρυφερά τις πόα, θαμνοειδὴς δέ, λείους ἀναφέρουσα καυλοὺς καὶ φύλλα πολυσχιδῆ, ἄνθη μήλινα, ἰσχυρῶς στίλβοντα καὶ ὀφθαλμοειδῶς κυκλοτερῆ, διὸ καὶ οὕτως ὠνόμασται. φύεται δὲ περὶ τάς πόλεις· οἱ καυλοὶ δὲ αὐτῆς λαχανεύονται. τὰ δὲ ἄνθη λεῖα μετὰ κηρωτῆς στεατώματα λέγεται διαφορεῖν, ἰκτερικούς δὲ καὶ προσκαίρως εὐχροεῖν ποιεῖ ποθεῖσα μετὰ τὴν ἐν τοῖς λουτροῖς ἀπὸ τῆς μάκτρας [ἔξοδον.]","Chrysanthemum, or chalkas; some call it chrysanthemis, others chalkitis, others chalkanthos, others chalkanthemon, others bouphthalmon; the Romans caltha; the Tuscans garuleou; the Africans chourzeta. It is a tender herb, somewhat shrubby, putting forth smooth stems and much-divided leaves; the flowers are apple-yellow, shining brightly and circular like an eye, whence it has received its name. It grows about cities; its stems are eaten as a pot-herb. The flowers, pounded smooth with a wax salve, are said to disperse indurations; when drunk after leaving the bath, following the scraping with the strigil, they make those afflicted with jaundice temporarily of good colour.",Overwrite existing line 533.
B4_127_RV,4,127_RV,Cynoglossum,κυνόγλωσσον,κυνόγλωσσον,"[127] RV: κυνόγλωσσον· οἱ δὲ φυτόν, οἱ δὲ καβαλλάτιον, οἱ δὲ σπληνιον, οἱ δὲ σκόλυμος, Ῥωμαῖοι λίγγουα κάνις, οἱ δὲ λίγγουα κανίνα. φύλλα ἔχει ἀρνογλώσσῳ τῷ πλατυφύλλῳ ἐμφερῆ, στενότερα δὲ καὶ μικρότερα, χνοώδη· ἄκαυλον, ἐπὶ γῆς ἐστρωμένον φύεται ἐν ἀμμώδεσι τόποις. δύναμιν δὲ ἔχει τὰ φύλλα λεῖα σὺν στέατι παλαιῷ ὑείῳ κυνόδηκτα καὶ ἀλωπεκίας καὶ κατακαύματα ἰᾶσθαι· ἑψηθεῖσα δὲ ἡ πόα καὶ πινομένη σὺν οἴνῳ κοιλίας ἐστὶ [μαλακτική.]","Cynoglossum; some call it phyton, others kaballation, others splenion, others skolymos; the Romans lingua canis, others lingua canina. It has leaves resembling those of the broad-leaved plantain, but narrower and smaller, and downy; it is stemless, spreading upon the ground, and grows in sandy places. The leaves, pounded smooth with old swine’s fat, heal dog-bites, bald patches, and burns. The herb, when boiled and drunk with wine, is laxative to the bowels.",Split from line 603 tail.
B4_137_RV,4,137_RV,Bromos,βρόμος,βρόμος,"[137 RV: βρόμος· οἱ δὲ σιφώνιον. οἱ δὲ ἀκρόσπελλος, Ῥωμαῖοι ἀβήναμ, Ἄφροι γυμμάθ· πόα ἐστὶν αἰγίλωπι ἐμφερής, δύναμιν ἔχουσα ἐπιξηραντικήν· ἀφεψηθεῖσα δὲ σύν ταῖς ῥίζαις μεθʼ ὕδατος, ἕως ἂν εἰς τρίτον ἔλθῃ τὸ ἀπόζεμα, καὶ διυλίσας αὐτὸ ἐπίμισγε μέλι τοσοῦτον καὶ ἕψε, ἕως γένηται πάχος ἔχον ὑγροῦ μέλιτος, καὶ ποιεῖ ἐπὶ τῶν ὀζαινικῶν, εἰ βρέχων ὀθόνιον προστίθης τῳ μυκτῆρι, καὶ καθʼ ἑαυτὸ δὲ ποιεῖ οὕτως· τινὲς δὲ καὶ ἀλόην λειώσαντες παρεμμίσγουσι καὶ οὕτως χρῶνται. ποιεῖ δὲ καὶ μετὰ ῥόδων ξηρῶν ἀφεψηθεὶς σύν οἴνῳ πρὸς τὰς τοῦ στόματος δυσωδίας.]","Bromos; some call it siphonion, others akrospellos; the Romans abenam; the Africans gummath. It is a herb resembling wild oats, having a drying property. Boiled with its roots in water until the decoction is reduced to one third, then strained, mix in an equal amount of honey and boil until it attains the consistency of runny honey. It is effective for fetid nasal ulcers if, after soaking a small piece of linen, you apply it to the nostril; it is also effective used by itself in this manner. Some, after pounding aloes, mix it in and so make use of it. Boiled with dried roses in wine, it is also effective against foul odours of the mouth.",Split from line 613 tail.
B4_190_RV,4,190_RV,Kunea,κυνέα ἢ κυνοκράμβη,κυνέα ἢ κυνοκράμβη,"[190 RV]: κυνέα ἢ κυνοκράμβη· οἱ δὲ λινόζωστις ἀγρία ἄρρην, Ἄφροι ἁρμάς, οἱ δὲ ἀσουμέσλαβον. καυλὸν ἀνίησι δισπιθαμιαῖον, τρυφερόν, ὑπόλευκον, φύλλα ἐμφερῆ λινοζώστει ἢ κισσῷ, ὑπόλευκα ἐκ διαστημάτων, τὸν δὲ καρπὸν πρὸς τοῖς πετάλοις μικρόν, στρογγύλον προσκείμενον. δύναμιν δὲ ἔχει ὅ τε καυλὸς καὶ τὰ φύλλα πινόμενα κοιλίας κινητικὴν λαχανευόμενα, καθεψομένων τε τὸ ὕδωρ ἄγει χολὴν καὶ ὑδατώδη.","Kunea, or kynokrambe; some call it wild male linozostis, the Africans harmas, others asoumeslabon. It sends up a stem two cubits high, tender and somewhat whitish; the leaves resemble linozostis or ivy, somewhat whitish at intervals; the fruit is small, round, and attached close to the petals. Both the stem and the leaves, when drunk, have a laxative effect on the bowels; when eaten as a pot-herb. When they are boiled, the decoction drives out bile and watery humours.",Overwrite existing line 666. Split marker tail from line 665.
