entry_id,source,ref,chapter_title_gr,chapter_title_en,lemma_ids,part_id,greek,greek_normalized,translation,trans_status,e_vol,e_page_start,e_page_end,word_count,notes
PAUL_AEG-7.3.1,PAUL_AEG,7.3.1,Ἀβρότονον,,,,Ἀβρότονον θερμαίνει καὶ ξηραίνει κατὰ τὴν τρίτην ἀπόστασιν διαφορητικῆς τε καὶ τμητικῆς ὑπάρχον δυνάμεως· ἐλαχίστης γὰρ μετέχει τῆς στρυφνότητος. καὶ ἀνατριβόμενον σὺν ἐλαίῳ δι' ὅλου τοῦ σώματος τὰ κατὰ περίοδον ῥίγη ὑγιάζει· ἔστι δὲ κακοστόμαχον. τὸ δὲ κεκαυμένον μᾶλλον τοῦ ἀκαύστου ξηραῖνον ἀλωπεκίας ἰᾶται σύν τινι τῶν λεπτομερῶν ἐλαίων.,αβροτονον θερμαινει και ξηραινει κατα την τριτην αποστασιν διαφορητικης τε και τμητικης υπαρχον δυναμεως· ελαχιστης γαρ μετεχει της στρυφνοτητος. και ανατριβομενον συν ελαιω δι' ολου του σωματος τα κατα περιοδον ριγη υγιαζει· εστι δε κακοστομαχον. το δε κεκαυμενον μαλλον του ακαυστου ξηραινον αλωπεκιας ιαται συν τινι των λεπτομερων ελαιων.,,draft,2,186,187,49,paul_row=0; lemma_gr=ἀβρότονον; edition_pages=2.186-187
PAUL_AEG-7.3.2,PAUL_AEG,7.3.2,Ἀγάλοχον,,,,"Ἀγάλοχον ξύλον ἐστὶν Ἰνδικὸν παραπλήσιον θύᾳ εὐῶδες, ὃ διαμασώμενον πρὸς εὐωδίαν στόματος ποιεῖ· ἔστι δὲ καὶ θυμίαμα. ἡ δὲ ῥίζα αὐτοῦ ὅσον 𐅻 α ὁλκὴ πινομένη πλάδον ἰᾶται στομάχου καὶ ἔκλυσιν· καὶ ἡπατικοῖς δὲ καὶ δυσεντερικοῖς ἁρμόζει καὶ πλευριτικοῖς.","αγαλοχον ξυλον εστιν ινδικον παραπλησιον θυα ευωδες, ο διαμασωμενον προς ευωδιαν στοματος ποιει· εστι δε και θυμιαμα. η δε ριζα αυτου οσον 𐅻 α ολκη πινομενη πλαδον ιαται στομαχου και εκλυσιν· και ηπατικοις δε και δυσεντερικοις αρμοζει και πλευριτικοις.",,draft,2,187,187,39,paul_row=1; lemma_gr=ἀγάλοχον; edition_pages=2.187
PAUL_AEG-7.3.3,PAUL_AEG,7.3.3,Ἀγαρικὸν,,,,"Ἀγαρικὸν ῥίζα ἐστὶν ἐπίφυσις πρέμνου χαύνη τὴν σύστασιν σύνθετος ἐξ ἀερώδους τε καὶ γεώδους οὐσίας διαφορητική τε τὴν δύναμιν καὶ πάχους τμητικὴ καὶ καθαρτική, μάλιστα τῶν ἐν τοῖς σπλάγχνοις ἐμφράξεων.","αγαρικον ριζα εστιν επιφυσις πρεμνου χαυνη την συστασιν συνθετος εξ αερωδους τε και γεωδους ουσιας διαφορητικη τε την δυναμιν και παχους τμητικη και καθαρτικη, μαλιστα των εν τοις σπλαγχνοις εμφραξεων.",,draft,2,187,187,30,paul_row=2; lemma_gr=ἀγαρικόν; edition_pages=2.187
PAUL_AEG-7.3.4,PAUL_AEG,7.3.4,Ἀγήρατον,,,,Ἀγήρατον δυνάμεώς ἐστι διαφορητικῆς τε καὶ ἀτρέμα πως ἀφλεγμάντου.,αγηρατον δυναμεως εστι διαφορητικης τε και ατρεμα πως αφλεγμαντου.,,draft,2,187,187,9,paul_row=3; lemma_gr=ἀγήρατον; edition_pages=2.187
PAUL_AEG-7.3.5,PAUL_AEG,7.3.5,Ἄγνος ἢ λύγος,,,,"Ἄγνος ἢ λύγος θερμαίνει καὶ ξηραίνει κατὰ τὴν τρίτην τάξιν· ἔστι δὲ καὶ λεπτομερὴς καὶ ἄφυσος, ὅθεν καὶ πρὸς ἁγνείαν πεπίστευται δρᾶν, οὐ μόνον ἐσθιόμενος καὶ πινόμενος, ἀλλὰ καὶ ὑποστρωννύμενος. ποιεῖ δὲ τὸ σπέρμα αὐτοῦ καὶ πρὸς ἔμφραξιν ἥπατος καὶ σπληνὸς πινόμενον. φρυττόμενος δὲ ἧττόν ἐστι φυσώδης καὶ εὐανάδοτος.","αγνος η λυγος θερμαινει και ξηραινει κατα την τριτην ταξιν· εστι δε και λεπτομερης και αφυσος, οθεν και προς αγνειαν πεπιστευται δραν, ου μονον εσθιομενος και πινομενος, αλλα και υποστρωννυμενος. ποιει δε το σπερμα αυτου και προς εμφραξιν ηπατος και σπληνος πινομενον. φρυττομενος δε ηττον εστι φυσωδης και ευαναδοτος.",,draft,2,187,187,49,paul_row=4; lemma_gr=ἄγνος:λύγος; edition_pages=2.187
PAUL_AEG-7.3.6,PAUL_AEG,7.3.6,Ἄγρωστις,,,,"Ἄγρωστις (ἡ τοῦ Παρνασοῦ μάλιστα χρήσιμός ἐστι) ξηραντική τε καὶ μετρίως ψυκτικὴ καὶ λεπτομερὴς καὶ ὑπόστρυφνός ἐστι· δι' ὃ τραύματά τε κολλᾷ τὰ ἔναιμα, καὶ λίθους τὸ ἀφέψημα αὐτῆς θρύπτει.","αγρωστις (η του παρνασου μαλιστα χρησιμος εστι) ξηραντικη τε και μετριως ψυκτικη και λεπτομερης και υποστρυφνος εστι· δι' ο τραυματα τε κολλα τα εναιμα, και λιθους το αφεψημα αυτης θρυπτει.",,draft,2,187,187,30,paul_row=5; lemma_gr=ἄγρωστις; edition_pages=2.187
PAUL_AEG-7.3.7,PAUL_AEG,7.3.7,Ἄγχουσαι,,,,"Ἄγχουσαι τέσσαρες οὐ τῆς αὐτῆς ἅπασαι δυνάμεως· ἡ μὲν γὰρ ὀνόκλεια προσαγορευομένη στύφουσάν τε καὶ ὑπόπικρον ἔχει τὴν ῥίζαν, ὅθεν σπληνικούς τε καὶ νεφριτικοὺς ὠφελεῖ, καταπλασσομένη δὲ σὺν ἀλφίτοις ἐρυσιπέλασιν ἁρμόζει· τὰ δὲ φύλλα τῆς ῥίζης ἧττον ψύχει τε καὶ ξηραίνει, δι' ὃ καὶ πρὸς διάρροιαν πίνεται. ἡ δὲ λύκαψος στυπτικωτέρα πως ὑπάρχουσα ὁμοίως ἐρυσιπέλασιν ἁρμόττει. ἡ δὲ ὀνόχειλός τε καὶ Ἀλκιβιάδειος φαρμακωδεστέρα τούτων οὖσα ἐχεοδήκτους ὠφελεῖ καταπλασσομένη τε καὶ περιαπτομένη καὶ ἐσθιομένη. ἡ δὲ τετάρτη μικροτέρα τῶν ἄλλων οὖσα σχεδὸν ἀνώνυμός ἐστι, πικροτέρα δὲ τῆς Ἀλκιβιαδείου τυγχάνουσα πρὸς τὰς πλατείας ἕλμινθας ἁρμόζει πλῆθος ὀξυβάφου πινομένη.","αγχουσαι τεσσαρες ου της αυτης απασαι δυναμεως· η μεν γαρ ονοκλεια προσαγορευομενη στυφουσαν τε και υποπικρον εχει την ριζαν, οθεν σπληνικους τε και νεφριτικους ωφελει, καταπλασσομενη δε συν αλφιτοις ερυσιπελασιν αρμοζει· τα δε φυλλα της ριζης ηττον ψυχει τε και ξηραινει, δι' ο και προς διαρροιαν πινεται. η δε λυκαψος στυπτικωτερα πως υπαρχουσα ομοιως ερυσιπελασιν αρμοττει. η δε ονοχειλος τε και αλκιβιαδειος φαρμακωδεστερα τουτων ουσα εχεοδηκτους ωφελει καταπλασσομενη τε και περιαπτομενη και εσθιομενη. η δε τεταρτη μικροτερα των αλλων ουσα σχεδον ανωνυμος εστι, πικροτερα δε της αλκιβιαδειου τυγχανουσα προς τας πλατειας ελμινθας αρμοζει πληθος οξυβαφου πινομενη.",,draft,2,187,187,96,paul_row=6; lemma_gr=ἄγχουσαι; edition_pages=2.187
PAUL_AEG-7.3.8,PAUL_AEG,7.3.8,Ἀδάρκη,,,,"Ἀδάρκη οἷον ἀφρός τίς ἐστιν ὕδατος ἁλμυροῦ περιπεπηγὼς φορυτῷ τε καὶ καλάμοις, δριμυτάτη δέ ἐστι καὶ θερμαντικὴ ἐγγὺς τοῦ καίειν ἔξωθεν προστιθεμένη σὺν ἄλλοις· εἴσω γὰρ τοῦ σώματος οὐχ οἷόν τε λαβεῖν αὐτήν.","αδαρκη οιον αφρος τις εστιν υδατος αλμυρου περιπεπηγως φορυτω τε και καλαμοις, δριμυτατη δε εστι και θερμαντικη εγγυς του καιειν εξωθεν προστιθεμενη συν αλλοις· εισω γαρ του σωματος ουχ οιον τε λαβειν αυτην.",,draft,2,188,188,33,paul_row=7; lemma_gr=ἀδάρκη; edition_pages=2.188
PAUL_AEG-7.3.9,PAUL_AEG,7.3.9,Ἀδίαντον,,,,"Ἀδίαντον ξηραίνει, λεπτύνει, διαφορεῖ μετρίως, κατὰ δὲ τὸ θερμὸν καὶ ψυχρὸν μεταξύ πώς ἐστιν· ἀλωπεκίας γοῦν ἰᾶται καὶ ὄγκους διαφορεῖ καὶ λίθους θρύπτει πινόμενον καὶ τὰς ἐκ πνεύμονος ἀναφορὰς ξηραίνει· ῥεῦμα κοιλίας ἵστησιν.","αδιαντον ξηραινει, λεπτυνει, διαφορει μετριως, κατα δε το θερμον και ψυχρον μεταξυ πως εστιν· αλωπεκιας γουν ιαται και ογκους διαφορει και λιθους θρυπτει πινομενον και τας εκ πνευμονος αναφορας ξηραινει· ρευμα κοιλιας ιστησιν.",,draft,2,188,188,33,paul_row=8; lemma_gr=ἀδίαντον; edition_pages=2.188
PAUL_AEG-7.3.10,PAUL_AEG,7.3.10,Ἀείζῳον,,,,"Ἀείζῳον διττόν, ψύχει μὲν ἐκ τῆς τρίτης ἀποστάσεως, ξηραίνει δὲ καὶ στύφει μετρίως· ταύτῃ ἄρα καὶ πρὸς ἐρυσιπέλατά τε καὶ ἕρπητας καὶ τὰς ἐκ ῥεύματος ἁρμόζει φλεγμονάς.","αειζωον διττον, ψυχει μεν εκ της τριτης αποστασεως, ξηραινει δε και στυφει μετριως· ταυτη αρα και προς ερυσιπελατα τε και ερπητας και τας εκ ρευματος αρμοζει φλεγμονας.",,draft,2,188,188,27,paul_row=9; lemma_gr=ἀείζῳον; edition_pages=2.188
