entry_id,prep_id,is_primary,notes
GAL_SMT-9.3.7,PR001,true,matched_in=lemma_gr; token=κεκαυμένη
GAL_SMT-9.3.36,PR001,true,matched_in=lemma_gr; token=κεκαυμένος
GAL_SMT-11.1.18,PR001,true,matched_in=lemma_gr; token=κεκαυμένον
GAL_SMT-11.1.30,PR001,true,matched_in=lemma_gr; token=κεκαυμένη
GAL_SMT-11.1.32,PR001,true,matched_in=lemma_gr; token=κεκαυμένος
GAL_SMT-11.1.33,PR001,true,matched_in=lemma_gr; token=κεκαυμένος
GAL_SMT-11.1.34,PR001,true,matched_in=lemma_gr; token=κεκαύμενος
GAL_SMT-11.1.35,PR001,true,matched_in=lemma_gr; token=κεκαυμένη
GAL_SMT-11.1.40,PR001,true,matched_in=lemma_gr; token=κεκαυμένος
GAL_SMT-11.2.5,PR001,true,matched_in=lemma_gr; token=κεκαυμένος
ORIB_CM-15.1.1.2,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένον
ORIB_CM-15.1.27.3,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένοι
ORIB_CM-15.1.27.5,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένον
ORIB_CM-15.1.27.32,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένος
ORIB_CM-15.1.27.33,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένος
ORIB_CM-15.1.27.47,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένη
ORIB_CM-15.1.27.48,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένη
ORIB_CM-15.1.27.49,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένος
ORIB_CM-15.2.29,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένη
ORIB_CM-15.2.54,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμέναι
ORIB_CM-15.2.55,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένον
ORIB_CM-15.2.65,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένος
AET_LM-1.2,PR001,true,matched_in=lemma_gr; token=κεκαυμένον
AET_LM-1.37,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένον
AET_LM-1.145,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.156,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.160,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.162,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.193,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.197,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμέναι
AET_LM-1.238,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.245,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.250,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.332,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.335,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.380,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.402,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.410,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-1.418,PR002,true,matched_in=var_par_prod_gr; token=ἀφέψημα
AET_LM-2.11,PR001,true,matched_in=lemma_gr; token=κεκαυμένη
AET_LM-2.21,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένος
AET_LM-2.44,PR001,true,matched_in=lemma_gr; token=κεκαυμένοι
AET_LM-2.48,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένον
AET_LM-2.53,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένον
AET_LM-2.57,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένη
AET_LM-2.64,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένα
AET_LM-2.66,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένος
AET_LM-2.73,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένος
AET_LM-2.78,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένη
AET_LM-2.79,PR001,true,matched_in=lemma_gr; token=κεκαυμένος
AET_LM-2.156,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένοις
AET_LM-2.159,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένα
AET_LM-2.160,PR001,true,matched_in=lemma_gr; token=κεκαυμένη
AET_LM-2.161,PR001,true,matched_in=lemma_gr; token=κεκαυμένον
AET_LM-2.162,PR001,true,matched_in=var_par_prod_gr; token=κεκαυμένα
AET_LM-2.181,PR001,true,matched_in=lemma_gr; token=κεκαυμένα
