lemma_id,headword_gr,headword_normalized,headword_en,parent_lemma,relationship,category,notes
L001,ἀβρότονον,αβροτονον,,,,plant,
L002,ἄγνος,αγνος,,,,plant,split from workbook list: ἄγνος; λύγος; category inherited from bundle source
L003,λύγος,λυγος,,,,plant,split from workbook list: ἄγνος; λύγος; category inherited from bundle source
L004,ἄγρωστις,αγρωστις,,,,plant,
L005,ἄγχουσα,αγχουσα,,,,plant,split from workbook list: ἄγχουσα; ὀνόκλεια; λύκοψις; ὀνόχειλος; ἀλκιβιάδειον; category inherited from bundle source
L006,ὀνόκλεια,ονοκλεια,,,,plant,split from workbook list: ἄγχουσα; ὀνόκλεια; λύκοψις; ὀνόχειλος; ἀλκιβιάδειον; category inherited from bundle source
L007,λύκοψις,λυκοψις,,,,plant,split from workbook list: ἄγχουσα; ὀνόκλεια; λύκοψις; ὀνόχειλος; ἀλκιβιάδειον; category inherited from bundle source
L008,ὀνόχειλος,ονοχειλος,,,,plant,split from workbook list: ἄγχουσα; ὀνόκλεια; λύκοψις; ὀνόχειλος; ἀλκιβιάδειον; category inherited from bundle source
L009,ἀλκιβιάδειον,αλκιβιαδειον,,,,plant,split from workbook list: ἄγχουσα; ὀνόκλεια; λύκοψις; ὀνόχειλος; ἀλκιβιάδειον; category inherited from bundle source
L010,ἀγαρικόν,αγαρικον,,,,plant,
L011,ἀγήρατον,αγηρατον,,,,plant,
L012,ἀδίαντον,αδιαντον,,,,plant,
L013,ἀείζωον,αειζωον,,,,plant,split from workbook list: ἀείζωον; ἀείζωον τὸ μέγα; ἀείζωον τὸ μικρόν; category inherited from bundle source
L014,ἀείζωον τὸ μέγα,αειζωον το μεγα,,L013,subtype,plant,split from workbook list: ἀείζωον; ἀείζωον τὸ μέγα; ἀείζωον τὸ μικρόν; category inherited from bundle source
L015,ἀείζωον τὸ μικρόν,αειζωον το μικρον,,L013,subtype,plant,split from workbook list: ἀείζωον; ἀείζωον τὸ μέγα; ἀείζωον τὸ μικρόν; category inherited from bundle source
L016,αἰγίλωψ,αιγιλωψ,,,,plant,
L017,αἶρα,αιρα,,,,plant,
L018,αἴγειρος,αιγειρος,,,,plant,
L019,ἀκακία,ακακια,,,,plant,
L020,ἀκαλύφη,ακαλυφη,,,,plant,
L021,ἄκανθος,ακανθος,,,,plant,split from workbook list: ἄκανθος; μελάμφυλλος; παιδέρωτα; category inherited from bundle source
L022,μελάμφυλλος,μελαμφυλλος,,,,plant,split from workbook list: ἄκανθος; μελάμφυλλος; παιδέρωτα; category inherited from bundle source
L023,παιδέρωτα,παιδερωτα,,,,plant,split from workbook list: ἄκανθος; μελάμφυλλος; παιδέρωτα; category inherited from bundle source
L024,ἀκάνθιον,ακανθιον,,,,plant,
L025,ἄκανθα λευκή,ακανθα λευκη,,,,plant,split from workbook list: ἄκανθα λευκή; λευκάκανθος; category inherited from bundle source
L026,λευκάκανθος,λευκακανθος,,,,plant,split from workbook list: ἄκανθα λευκή; λευκάκανθος; category inherited from bundle source
L027,ἄκανθα Αἰγυπτία,ακανθα αιγυπτια,,,,plant,split from workbook list: ἄκανθα Αἰγυπτία; ἄκανθα Ἀραβική; category inherited from bundle source
L028,ἄκανθα Ἀραβική,ακανθα αραβικη,,,,plant,split from workbook list: ἄκανθα Αἰγυπτία; ἄκανθα Ἀραβική; category inherited from bundle source
L029,ἄκορον,ακορον,,,,plant,
L030,ἀκόνιτον,ακονιτον,,,,plant,split from workbook list: ἀκόνιτον; παρδαλιαγχές; category inherited from bundle source
L031,παρδαλιαγχές,παρδαλιαγχες,,,,plant,split from workbook list: ἀκόνιτον; παρδαλιαγχές; category inherited from bundle source
L032,λυκοκτόνον,λυκοκτονον,,,,plant,split from workbook list: ἀκόνιτον; λυκοκτόνον; category inherited from bundle source
L033,ἀκτή,ακτη,,,,plant,split from workbook list: ἀκτή; ἄκτη ἡ μεγάλη καὶ δενδρώδης; ἄκτη ἡ βοτανωδεστέρα; ἄκτη χαμαιάκτην; category inherited from bundle source
L034,ἄκτη ἡ μεγάλη,ακτη η μεγαλη,,L033,subtype,plant,split from workbook list: ἀκτή; ἄκτη ἡ μεγάλη καὶ δενδρώδης; ἄκτη ἡ βοτανωδεστέρα; ἄκτη χαμαιάκτην; category inherited from bundle source
L035,δενδρώδης,δενδρωδης,,,,plant,split from workbook list: ἀκτή; ἄκτη ἡ μεγάλη καὶ δενδρώδης; ἄκτη ἡ βοτανωδεστέρα; ἄκτη χαμαιάκτην; category inherited from bundle source
L036,ἄκτη ἡ βοτανωδεστέρα,ακτη η βοτανωδεστερα,,L033,subtype,plant,split from workbook list: ἀκτή; ἄκτη ἡ μεγάλη καὶ δενδρώδης; ἄκτη ἡ βοτανωδεστέρα; ἄκτη χαμαιάκτην; category inherited from bundle source
L037,ἄκτη χαμαιάκτην,ακτη χαμαιακτην,,L033,subtype,plant,split from workbook list: ἀκτή; ἄκτη ἡ μεγάλη καὶ δενδρώδης; ἄκτη ἡ βοτανωδεστέρα; ἄκτη χαμαιάκτην; category inherited from bundle source
L038,ἅλιμον,αλιμον,,,,plant,split from workbook list: ἅλιμον; ἁλμυρίς; category inherited from bundle source
L039,ἀλόη,αλοη,,,,plant,
L040,ἄλυσσον,αλυσσον,,,,plant,
L041,ἀλσίνη,αλσινη,,,,plant,split from workbook list: ἀλσίνη; μυὸς ὦτα; category inherited from bundle source
L042,μυὸς ὦτα,μυος ωτα,,,,plant,split from workbook list: ἀλσίνη; μυὸς ὦτα; category inherited from bundle source
L043,ἀμάρακον,αμαρακον,,,,plant,
L044,ἀμβροσία,αμβροσια,,,,plant,
L045,ἄμι,αμι,,,,plant,
L046,ἀμάραντον,αμαραντον,,,,plant,
L047,ἀμόργη,αμοργη,,,,plant,
L048,ἀμπελόπρασον,αμπελοπρασον,,,,plant,
L049,ἄμπελος ἄγρια,αμπελος αγρια,,,,plant,
L050,ἄμπελος ἥμερος,αμπελος ημερος,,,,plant,
L051,ἄμπελος λευκή,αμπελος λευκη,,,,plant,split from workbook list: ἄμπελος λευκή; βρυωνία; ψίλωθρον; category inherited from bundle source
L052,βρυωνία,βρυωνια,,,,plant,split from workbook list: ἄμπελος λευκή; βρυωνία; ψίλωθρον; category inherited from bundle source
L053,ψίλωθρον,ψιλωθρον,,,,plant,split from workbook list: ἄμπελος λευκή; βρυωνία; ψίλωθρον; category inherited from bundle source
L054,ἄμπελος μέλαινα,αμπελος μελαινα,,,,plant,
L055,ἀμύγδαλα,αμυγδαλα,,,,plant,
L056,ἀμμωνιακόν,αμμωνιακον,,,,plant,
L057,ἄμωμον,αμωμον,,,,plant,
L058,ἀναγαλλίς,αναγαλλις,,,,plant,split from workbook list: ἀναγαλλίς; ἀναγαλλίς ἡ τὸ κυανὸν ἄνθος ἔχουσα; ἀναγαλλίς ἡ τὸ φοινικοῦν; category inherited from bundle source
L059,ἀναγαλλίς ἡ τὸ κυανὸν ἄνθος ἔχουσα,αναγαλλις η το κυανον ανθος εχουσα,,L058,subtype,plant,split from workbook list: ἀναγαλλίς; ἀναγαλλίς ἡ τὸ κυανὸν ἄνθος ἔχουσα; ἀναγαλλίς ἡ τὸ φοινικοῦν; category inherited from bundle source
L060,ἀναγαλλίς ἡ τὸ φοινικοῦν,αναγαλλις η το φοινικουν,,L058,subtype,plant,split from workbook list: ἀναγαλλίς; ἀναγαλλίς ἡ τὸ κυανὸν ἄνθος ἔχουσα; ἀναγαλλίς ἡ τὸ φοινικοῦν; category inherited from bundle source
L061,ἀνάγυρος,αναγυρος,,,,plant,
