canonical_lemma_id,headword_normalized,member_lemma_ids,notes
L027,ακανθα αιγυπτια,"L027,L812",normalised collision group
L085,αργεμονη,"L085,L815",normalised collision group
L086,αρισαρον,"L086,L816",normalised collision group
L101,ασπληνον,"L101,L817",normalised collision group
L102,αστραγαλος,"L102,L818",normalised collision group
L103,αστηρ αττικος,"L103,L127,L819,L850",normalised collision group
L111,αφακη,"L111,L820",normalised collision group
L123,βηχιον,"L123,L822",normalised collision group
L125,βολβος ημερος,"L125,L824",normalised collision group
L151,γογγυλις,"L151,L805",normalised collision group
L168,ελαια,"L168,L799",normalised collision group
L229,επιμηλις,"L229,L827",normalised collision group
L241,εφημερον,"L241,L828",normalised collision group
L260,θριδαξ,"L260,L802",normalised collision group
L276,καππαρις,"L276,L801",normalised collision group
L297,κισθος,"L297,L914",normalised collision group
L306,κολοκυνθη,"L306,L791",normalised collision group
L322,κριθαι,"L322,L782",normalised collision group
L354,λινοσπερμον,"L354,L790",normalised collision group
L364,μαλαχη,"L364,L803",normalised collision group
L370,μελι,"L370,L810",normalised collision group
L378,μηλεα περσικη,"L378,L796",normalised collision group
L379,μηλεα αρμενιακη,"L379,L797",normalised collision group
L384,μορεα,"L384,L795",normalised collision group
L386,μυκητες,"L386,L806",normalised collision group
L428,πανακες ηρακλειον,"L428,L963",normalised collision group
L429,πανακες ασκληπειον,"L429,L834",normalised collision group
L446,πιτυιδες,"L446,L969",normalised collision group
L468,ραφανις,"L468,L807",normalised collision group
L507,σμυρνα βοικη,"L507,L836",normalised collision group
L581,γη σαμια,"L581,L1010",normalised collision group
L625,κυανος,"L625,L1049",normalised collision group
L760,κανθαρις,"L760,L1135",normalised collision group
L785,φακοι,"L785,L1001",normalised collision group
L786,φασηλοι και ωχροι,"L786,L1002",normalised collision group
L787,λαθυροι,"L787,L937",normalised collision group
L788,δολιχοι,"L788,L853",normalised collision group
L792,πεπων,"L792,L965",normalised collision group
L794,σταφυλη,"L794,L995",normalised collision group
L798,ροα πασα,"L798,L987",normalised collision group
L804,κινναρα,"L804,L910",normalised collision group
L808,πρασα,"L808,L974",normalised collision group
L1098,ωα,"L1098,L1099",normalised collision group
