part_id,greek,english,category,notes
P001,ῥίζα,root,vegetable,
P002,φύλλον,leaf,vegetable,
P003,σπέρμα,seed,vegetable,Used across plant entries.
P004,καρπός,fruit,vegetable,
P005,ἄνθος,flower,vegetable,
P006,φλοιός,bark,vegetable,
P007,χυλός,juice,vegetable,
P008,ὀπός,resin,vegetable,
P009,κλάδος,branch,vegetable,
P010,βλαστός,shoot,vegetable,
P102,τέφρα,ash,vegetable,
P201,αἷμα,blood,animal,
P202,γάλα,milk,animal,
P203,χολή,bile,animal,
P204,πιμελή,fat,animal,
P205,μυελός,marrow,animal,
P206,ἧπαρ,liver,animal,
P207,κόπρος,dung,animal,
P208,οὖρον,urine,animal,
P209,ὀστοῦν,bone,animal,
P210,κέρας,horn,animal,
P211,δέρμα,skin,animal,
P212,ὄνυξ,claw,animal,
P213,ὠόν,egg,animal,
P301,λίθος,stone,mineral,
P302,ἄνθος,efflorescence,mineral,Mineral ‘flower’/efflorescence; distinct from vegetable ἄνθος (flower).
P303,σποδός,powder/ash residue,mineral,
