row_idx,author,book,chapter,lemma_gr,lemma_en,edition_pages,chapter_gr,section_gr,var_par_prod_gr,entry_gr,var_par_prod_en,entry_en,book_no_gr,chapter_no_gr,cat,lemma_derived,derived_from
0,paul,7,3,ἀβρότονον,,2.186-187,,Ἀβρότονον,,Ἀβρότονον θερμαίνει καὶ ξηραίνει κατὰ τὴν τρίτην ἀπόστασιν διαφορητικῆς τε καὶ τμητικῆς ὑπάρχον δυνάμεως· ἐλαχίστης γὰρ μετέχει τῆς στρυφνότητος. καὶ ἀνατριβόμενον σὺν ἐλαίῳ δι' ὅλου τοῦ σώματος τὰ κατὰ περίοδον ῥίγη ὑγιάζει· ἔστι δὲ κακοστόμαχον. τὸ δὲ κεκαυμένον μᾶλλον τοῦ ἀκαύστου ξηραῖνον ἀλωπεκίας ἰᾶται σύν τινι τῶν λεπτομερῶν ἐλαίων.,,,,,,,
1,paul,7,3,ἀγάλοχον,,2.187,,Ἀγάλοχον,,"Ἀγάλοχον ξύλον ἐστὶν Ἰνδικὸν παραπλήσιον θύᾳ εὐῶδες, ὃ διαμασώμενον πρὸς εὐωδίαν στόματος ποιεῖ· ἔστι δὲ καὶ θυμίαμα. ἡ δὲ ῥίζα αὐτοῦ ὅσον 𐅻 α ὁλκὴ πινομένη πλάδον ἰᾶται στομάχου καὶ ἔκλυσιν· καὶ ἡπατικοῖς δὲ καὶ δυσεντερικοῖς ἁρμόζει καὶ πλευριτικοῖς.",,,,,,,
2,paul,7,3,ἀγαρικόν,,2.187,,Ἀγαρικὸν,,"Ἀγαρικὸν ῥίζα ἐστὶν ἐπίφυσις πρέμνου χαύνη τὴν σύστασιν σύνθετος ἐξ ἀερώδους τε καὶ γεώδους οὐσίας διαφορητική τε τὴν δύναμιν καὶ πάχους τμητικὴ καὶ καθαρτική, μάλιστα τῶν ἐν τοῖς σπλάγχνοις ἐμφράξεων.",,,,,,,
3,paul,7,3,ἀγήρατον,,2.187,,Ἀγήρατον,,Ἀγήρατον δυνάμεώς ἐστι διαφορητικῆς τε καὶ ἀτρέμα πως ἀφλεγμάντου.,,,,,,,
4,paul,7,3,ἄγνος:λύγος,,2.187,,Ἄγνος ἢ λύγος,,"Ἄγνος ἢ λύγος θερμαίνει καὶ ξηραίνει κατὰ τὴν τρίτην τάξιν· ἔστι δὲ καὶ λεπτομερὴς καὶ ἄφυσος, ὅθεν καὶ πρὸς ἁγνείαν πεπίστευται δρᾶν, οὐ μόνον ἐσθιόμενος καὶ πινόμενος, ἀλλὰ καὶ ὑποστρωννύμενος. ποιεῖ δὲ τὸ σπέρμα αὐτοῦ καὶ πρὸς ἔμφραξιν ἥπατος καὶ σπληνὸς πινόμενον. φρυττόμενος δὲ ἧττόν ἐστι φυσώδης καὶ εὐανάδοτος.",,,,,,,
5,paul,7,3,ἄγρωστις,,2.187,,Ἄγρωστις,,"Ἄγρωστις (ἡ τοῦ Παρνασοῦ μάλιστα χρήσιμός ἐστι) ξηραντική τε καὶ μετρίως ψυκτικὴ καὶ λεπτομερὴς καὶ ὑπόστρυφνός ἐστι· δι' ὃ τραύματά τε κολλᾷ τὰ ἔναιμα, καὶ λίθους τὸ ἀφέψημα αὐτῆς θρύπτει.",,,,,,,
6,paul,7,3,ἄγχουσαι,,2.187,,Ἄγχουσαι,,"Ἄγχουσαι τέσσαρες οὐ τῆς αὐτῆς ἅπασαι δυνάμεως· ἡ μὲν γὰρ ὀνόκλεια προσαγορευομένη στύφουσάν τε καὶ ὑπόπικρον ἔχει τὴν ῥίζαν, ὅθεν σπληνικούς τε καὶ νεφριτικοὺς ὠφελεῖ, καταπλασσομένη δὲ σὺν ἀλφίτοις ἐρυσιπέλασιν ἁρμόζει· τὰ δὲ φύλλα τῆς ῥίζης ἧττον ψύχει τε καὶ ξηραίνει, δι' ὃ καὶ πρὸς διάρροιαν πίνεται. ἡ δὲ λύκαψος στυπτικωτέρα πως ὑπάρχουσα ὁμοίως ἐρυσιπέλασιν ἁρμόττει. ἡ δὲ ὀνόχειλός τε καὶ Ἀλκιβιάδειος φαρμακωδεστέρα τούτων οὖσα ἐχεοδήκτους ὠφελεῖ καταπλασσομένη τε καὶ περιαπτομένη καὶ ἐσθιομένη. ἡ δὲ τετάρτη μικροτέρα τῶν ἄλλων οὖσα σχεδὸν ἀνώνυμός ἐστι, πικροτέρα δὲ τῆς Ἀλκιβιαδείου τυγχάνουσα πρὸς τὰς πλατείας ἕλμινθας ἁρμόζει πλῆθος ὀξυβάφου πινομένη.",,,,,,,
7,paul,7,3,ἀδάρκη,,2.188,,Ἀδάρκη,,"Ἀδάρκη οἷον ἀφρός τίς ἐστιν ὕδατος ἁλμυροῦ περιπεπηγὼς φορυτῷ τε καὶ καλάμοις, δριμυτάτη δέ ἐστι καὶ θερμαντικὴ ἐγγὺς τοῦ καίειν ἔξωθεν προστιθεμένη σὺν ἄλλοις· εἴσω γὰρ τοῦ σώματος οὐχ οἷόν τε λαβεῖν αὐτήν.",,,,,,,
8,paul,7,3,ἀδίαντον,,2.188,,Ἀδίαντον,,"Ἀδίαντον ξηραίνει, λεπτύνει, διαφορεῖ μετρίως, κατὰ δὲ τὸ θερμὸν καὶ ψυχρὸν μεταξύ πώς ἐστιν· ἀλωπεκίας γοῦν ἰᾶται καὶ ὄγκους διαφορεῖ καὶ λίθους θρύπτει πινόμενον καὶ τὰς ἐκ πνεύμονος ἀναφορὰς ξηραίνει· ῥεῦμα κοιλίας ἵστησιν.",,,,,,,
9,paul,7,3,ἀείζῳον,,2.188,,Ἀείζῳον,,"Ἀείζῳον διττόν, ψύχει μὲν ἐκ τῆς τρίτης ἀποστάσεως, ξηραίνει δὲ καὶ στύφει μετρίως· ταύτῃ ἄρα καὶ πρὸς ἐρυσιπέλατά τε καὶ ἕρπητας καὶ τὰς ἐκ ῥεύματος ἁρμόζει φλεγμονάς.",,,,,,,
