candidate_id,author_group,entry_id,text_source,sample_type,candidate_method,trigger_pattern,left_term_key,left_display,right_term_key,right_display,relation_hint,evidence_display,review_status,review_confidence,review_note
SNRC-00001,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,γλυκυ,γλυκεῖ,ελαια,ἐλαίας,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00002,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,γλυκυ,γλυκεῖ,ελαιον,ἔλαιον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00003,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,γλυκυ,γλυκεῖ,ελαιον παλαιον,παλαιὸν ἔλαιον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00004,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,γλυκυ,γλυκεῖ,λυχνιαιον,λυχνιαῖον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00005,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,γλυκυ,γλυκεῖ,ομφακινον,ὀμφάκινον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00006,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,γλυκυ,γλυκεῖ,σαβινος,σαβῖνον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00007,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,γλυκυ,γλυκεῖ,φαρμακον,φαρμάκων,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00008,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,γλυκυ,γλυκεῖ,χυμος,χυμοῦ,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00009,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,γλυκυ,γλυκεῖ,ωμοτριβες,ὠμοτριβὲς,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00010,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,γλυκυ,γλυκεῖ,καρπου ελαιας,καρποῦ ἐλαίας,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
