candidate_id,entry_id,text_source,author_group,left_term_key,right_term_key,relation_type,evidence_display,review_status,review_confidence,reviewer,review_note
SNRC-00001,AET_LM-1.100,AET_LM,Aetius,γλυκυ,ελαια,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,,
SNRC-00002,AET_LM-1.100,AET_LM,Aetius,γλυκυ,ελαιον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,,
SNRC-00003,AET_LM-1.100,AET_LM,Aetius,γλυκυ,ελαιον παλαιον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,,
SNRC-00004,AET_LM-1.100,AET_LM,Aetius,γλυκυ,λυχνιαιον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,,
SNRC-00005,AET_LM-1.100,AET_LM,Aetius,γλυκυ,ομφακινον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,,
SNRC-00006,AET_LM-1.100,AET_LM,Aetius,γλυκυ,σαβινος,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,,
SNRC-00007,AET_LM-1.100,AET_LM,Aetius,γλυκυ,φαρμακον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,,
SNRC-00008,AET_LM-1.100,AET_LM,Aetius,γλυκυ,χυμος,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,,
SNRC-00009,AET_LM-1.100,AET_LM,Aetius,γλυκυ,ωμοτριβες,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,,
SNRC-00010,AET_LM-1.100,AET_LM,Aetius,γλυκυ,καρπου ελαιας,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,,
