term_key,form_display,form_normalized,count,entry_count,text_sources,author_groups
αβηναμ,ἀβήναμ,αβηναμ,1,1,DIOSC_DMM,Dioscorides
αβροτονιτης,ἀβροτονίτης,αβροτονιτης,1,1,DIOSC_DMM,Dioscorides
αβροτονον,ἀβρότονον,αβροτονον,5,5,AET_LM;GAL_SMT;ORIB_CM,Aetius;Galen;Oribasius
αβροτονον,ἁβρότονον,αβροτονον,4,4,DIOSC_DMM,Dioscorides
αβροτονον,ἄβροτονον,αβροτονον,2,2,ORIB_CM;PAUL_AEG,Oribasius;Paul
αβροτονον κεκαυμενον,ἀβρότονον κεκαυμένον,αβροτονον κεκαυμενον,1,1,AET_LM,Aetius
αβροτονου φυλλων,ἁβροτόνου φύλλων,αβροτονου φυλλων,1,1,DIOSC_DMM,Dioscorides
αγαλοχον ξυλον,ἀγάλοχον ξύλον,αγαλοχον ξυλον,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul
αγαρικον,ἀγαρικόν,αγαρικον,5,5,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM,Aetius;Dioscorides;Galen;Oribasius
αγαρικον,Ἀγαρικόν,αγαρικον,1,1,PAUL_AEG,Paul
αγαρικον ριζα,Ἀγαρικὸν ῥίζα,αγαρικον ριζα,1,1,PAUL_AEG,Paul
αγαρικου ριζα,ἀγαρικοῦ ῥίζα,αγαρικου ριζα,1,1,GAL_SMT,Galen
αγαρικου ριζα,Ἀγαρικοῦ ῥίζα,αγαρικου ριζα,1,1,ORIB_CM,Oribasius
αγασυλλις,ἀγασυλλίς,αγασυλλις,1,1,DIOSC_DMM,Dioscorides
αγηρατον,ἀγήρατον,αγηρατον,5,5,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM,Aetius;Dioscorides;Galen;Oribasius
αγηρατον,ἄγηρατον,αγηρατον,1,1,PAUL_AEG,Paul
αγηρατος,αγηρατος,αγηρατος,1,1,PAUL_AEG,Paul
αγηρατος λιθος,ἀγήρατος λίθος,αγηρατος λιθος,1,1,ORIB_CM,Oribasius
αγκων,ἀγκών,αγκων,1,1,DIOSC_DMM,Dioscorides
αγλαοφωτις,ἀγλαοφῶτις,αγλαοφωτις,1,1,DIOSC_DMM,Dioscorides
αγλιθας,ἄγλιθας,αγλιθας,1,1,DIOSC_DMM,Dioscorides
αγνος,ἄγνος,αγνος,9,9,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul
αγνου χλωρων φυλλων,ἄγνου χλωρῶν φύλλων,αγνου χλωρων φυλλων,1,1,AET_LM,Aetius
αγρια ακανθος,ἀγρία ἄκανθος,αγρια ακανθος,1,1,DIOSC_DMM,Dioscorides
αγρια αμπελος,ἀγρία ἄμπελος,αγρια αμπελος,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul
αγρια ανεμωνη,ἀγρία ἀνεμώνη,αγρια ανεμωνη,1,1,DIOSC_DMM,Dioscorides
αγρια απιος,ἀγρία ἄπιος,αγρια απιος,1,1,DIOSC_DMM,Dioscorides
αγρια γογγυλη,ἀγρία γογγύλη,αγρια γογγυλη,1,1,DIOSC_DMM,Dioscorides
αγρια ελαια,ἀγρία ἐλαία,αγρια ελαια,3,3,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul
αγρια ελαια,ἀγρία ἐλαία,αγρια ελαια,1,1,PAUL_AEG,Paul
αγρια θριδαξ,ἀγρία θρίδαξ,αγρια θριδαξ,1,1,PAUL_AEG,Paul
αγρια ιρις,ἀγρία ἴρις,αγρια ιρις,1,1,AET_LM,Aetius
αγρια κνηκος,ἀγρία κνῆκος,αγρια κνηκος,1,1,PAUL_AEG,Paul
αγρια μαλαχη,ἀγρία μαλάχη,αγρια μαλαχη,4,4,GAL_ALIM;PAUL_AEG,Galen;Paul
αγρια μηκων,ἀγρία μήκων,αγρια μηκων,3,3,DIOSC_DMM,Dioscorides
αγρια μηλεα,ἀγρία μηλέα,αγρια μηλεα,3,3,GAL_SMT;ORIB_CM;PAUL_AEG,Galen;Oribasius;Paul
αγρια ραφανος,ἀγρία ῥάφανος,αγρια ραφανος,1,1,PAUL_AEG,Paul
αγρια ροα,ἀγρία ῥόα,αγρια ροα,1,1,DIOSC_DMM,Dioscorides
αγρια ροια,ἀγρία ῥοιά,αγρια ροια,1,1,PAUL_AEG,Paul
αγρια σερις,ἀγρία σέρις,αγρια σερις,1,1,PAUL_AEG,Paul
αγρια σταφυλη,ἀγρία σταφυλή,αγρια σταφυλη,1,1,DIOSC_DMM,Dioscorides
αγρια συκη,ἀγρία συκῆ,αγρια συκη,1,1,ORIB_CM,Oribasius
αγριας αμπελου καρπος,ἀγρίας ἀμπέλου καρπός,αγριας αμπελου καρπος,1,1,DIOSC_DMM,Dioscorides
αγριας ναρδου της ριζης,ἀγρίας νάρδου τῆς ῥίζης,αγριας ναρδου της ριζης,1,1,DIOSC_DMM,Dioscorides
αγριας ροιας ανθος,ἀγρίας ῥοιᾶς ἄνθος,αγριας ροιας ανθος,1,1,AET_LM,Aetius
αγριας συκης κλαδων,ἀγρίας συκῆς κλάδων,αγριας συκης κλαδων,1,1,DIOSC_DMM,Dioscorides
αγριελαια,ἀγριέλαια,αγριελαια,1,1,DIOSC_DMM,Dioscorides
αγριελαια,ἄγριελαία,αγριελαια,1,1,DIOSC_DMM,Dioscorides
αγριολον,ἀγρίολον,αγριολον,1,1,DIOSC_DMM,Dioscorides
αγριον ηδυοσμον,ἄγριον ἡδύοσμον,αγριον ηδυοσμον,1,1,DIOSC_DMM,Dioscorides
αγριον λαπαθον,ἄγριον λάπαθον,αγριον λαπαθον,3,3,AET_LM;GAL_SMT;PAUL_AEG,Aetius;Galen;Paul
αγριον λαπαθον,ἄγριον λάπαθον,αγριον λαπαθον,1,1,AET_LM,Aetius
αγριον πηγανον,ἄγριον πήγανον,αγριον πηγανον,1,1,AET_LM,Aetius
αγριον πρασον,ἄγριον πρᾶσον,αγριον πρασον,1,1,GAL_SMT,Galen
αγριοριγανος,ἀγριορίγανος,αγριοριγανος,1,1,DIOSC_DMM,Dioscorides
