occurrence_id,term_key,entry_id,text_source,author_group,result_run,entry_ref,chapter_title_gr,display,lemma_gr,label,normalized,lemma_normalized,is_multiword,head_lemma_normalized,substance_lemma_normalized,part_lemma_normalized,variant_place_lemma_normalized,confidence,lemma_confidence,result_file,applies_to_kind,applies_to_lemma_normalized,applies_to_substance_lemma_normalized,applies_to_part_lemma_normalized
entries_full_v3:AET_LM-1.1:14,αβροτονον,AET_LM-1.1,AET_LM,Aetius,entries_full_v3,1.1,ἀβρότονον,ἀβρότονον,ἀβρότονον,SUBSTANCE,αβροτονον,αβροτονον,false,,,,,0.950,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.1.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.1:15,αψινθιον,AET_LM-1.1,AET_LM,Aetius,entries_full_v3,1.1,ἀβρότονον,ἀψινθίου,ἀψίνθιον,SUBSTANCE,αψινθιου,αψινθιον,false,,,,,0.850,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.1.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.1:16,ελαιον,AET_LM-1.1,AET_LM,Aetius,entries_full_v3,1.1,ἀβρότονον,ἐλαίῳ,ἔλαιον,SUBSTANCE,ελαιω,ελαιον,false,,,,,0.850,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.1.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.1:17,ανθεσιν,AET_LM-1.1,AET_LM,Aetius,entries_full_v3,1.1,ἀβρότονον,ἄνθεσιν,,SUBSTANCE_PART,ανθεσιν,,false,,αβροτονον,ανθος,,0.850,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.1.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.1:18,κομη,AET_LM-1.1,AET_LM,Aetius,entries_full_v3,1.1,ἀβρότονον,κόμη,,SUBSTANCE_PART,κομη,,false,,αβροτονον,κομη,,0.850,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.1.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.10:2,αιρα,AET_LM-1.10,AET_LM,Aetius,entries_full_v3,1.10,αἶρα,αἶρα,αἶρα,SUBSTANCE,αιρα,αιρα,false,,,,,0.940,0.920,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.10.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.10:3,δριμεια ιρις,AET_LM-1.10,AET_LM,Aetius,entries_full_v3,1.10,αἶρα,δριμέων ἴρεως,δριμεῖα ἶρις,SUBSTANCE,δριμεων ιρεως,δριμεια ιρις,true,ιρις,,,,0.640,0.720,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.10.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.10:4,ιρις,AET_LM-1.10,AET_LM,Aetius,entries_full_v3,1.10,αἶρα,ἴρεως,ἶρις,SUBSTANCE,ιρεως,ιρις,false,,,,,0.860,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.10.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.100:20,γλυκυ,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,γλυκεῖ,γλυκύ,SUBSTANCE,γλυκει,γλυκυ,false,,,,,0.650,0.500,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.100:21,ελαια,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,ἐλαίας,ἐλαία,SUBSTANCE,ελαιας,ελαια,false,,,,,0.850,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.100:22,ελαιον,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,ἔλαιον,ἔλαιον,SUBSTANCE,ελαιον,ελαιον,false,,,,,0.950,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.100:23,ελαιον παλαιον,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,παλαιὸν ἔλαιον,ἔλαιον παλαιόν,SUBSTANCE,παλαιον ελαιον,ελαιον παλαιον,true,ελαιον,,,,0.800,0.700,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
