term_key,preferred_display,lemma_normalized,labels,is_multiword,head_lemma_normalized,variant_place_lemma_normalized,source_count,entry_count,occurrence_count,text_sources,author_groups,result_runs,confidence_avg,status
αβηναμ,ἀβήναμ,αβηναμ,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.550,draft
αβροτονιτης,ἀβροτονίτης,αβροτονιτης,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.780,draft
αβροτονον,ἀβρότονον,αβροτονον,SUBSTANCE:11,false,,,5,11,11,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.915,draft
αβροτονον κεκαυμενον,ἀβρότονον κεκαυμένον,αβροτονον κεκαυμενον,SUBSTANCE:1,true,αβροτονον,,1,1,1,AET_LM,Aetius,entries_full_v3,0.900,draft
αβροτονου φυλλων,ἁβροτόνου φύλλων,αβροτονου φυλλων,SUBSTANCE_PART:1,true,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.880,draft
αγαλοχον ξυλον,ἀγάλοχον ξύλον,αγαλοχον ξυλον,SUBSTANCE:2,true,ξυλον,ινδικος,2,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul,diosc_full_v3;paul_full_v3,0.930,draft
αγαρικον,ἀγαρικόν,αγαρικον,SUBSTANCE:6,false,,,5,6,6,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.918,draft
αγαρικον ριζα,Ἀγαρικὸν ῥίζα,αγαρικον ριζα,SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.820,draft
αγαρικου ριζα,ἀγαρικοῦ ῥίζα,αγαρικου ριζα,SUBSTANCE_PART:2,true,,,2,2,2,GAL_SMT;ORIB_CM,Galen;Oribasius,entries_full_v3,0.900,draft
αγασυλλις,ἀγασυλλίς,αγασυλλις,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
αγηρατον,ἀγήρατον,αγηρατον,SUBSTANCE:6,false,,,5,6,6,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.917,draft
αγηρατος,αγηρατος,αγηρατος,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.850,draft
αγηρατος λιθος,ἀγήρατος λίθος,αγηρατος λιθος,SUBSTANCE:1,true,λιθος,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.850,draft
αγκων,ἀγκών,αγκων,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.350,draft
αγλαοφωτις,ἀγλαοφῶτις,αγλαοφωτις,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αγλιθας,ἄγλιθας,αγλιθας,SUBSTANCE_PART:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.660,draft
αγνος,ἄγνος,αγνος,SUBSTANCE:9,false,,,5,9,9,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.880,draft
αγνου χλωρων φυλλων,ἄγνου χλωρῶν φύλλων,αγνου χλωρων φυλλων,SUBSTANCE_PART:1,true,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.800,draft
αγρια ακανθος,ἀγρία ἄκανθος,αγρια ακανθος,SUBSTANCE:1,true,ακανθος,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
αγρια αμπελος,ἀγρία ἄμπελος,αγρια αμπελος,SUBSTANCE:2,true,αμπελος,,2,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul,diosc_full_v3;paul_full_v3,0.875,draft
αγρια ανεμωνη,ἀγρία ἀνεμώνη,αγρια ανεμωνη,SUBSTANCE:1,true,ανεμωνη,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.780,draft
αγρια απιος,ἀγρία ἄπιος,αγρια απιος,SUBSTANCE:1,true,απιος,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.780,draft
αγρια γογγυλη,ἀγρία γογγύλη,αγρια γογγυλη,SUBSTANCE:1,true,γογγυλη,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
αγρια ελαια,ἀγρία ἐλαία,αγρια ελαια,SUBSTANCE:4,true,ελαια,,2,4,4,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul,diosc_full_v3;paul_full_v3,0.787,draft
αγρια θριδαξ,ἀγρία θρίδαξ,αγρια θριδαξ,SUBSTANCE:1,true,θριδαξ,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.880,draft
αγρια ιρις,ἀγρία ἴρις,αγρια ιρις,SUBSTANCE:1,true,ιρις,,1,1,1,AET_LM,Aetius,entries_full_v3,0.720,draft
αγρια κνηκος,ἀγρία κνῆκος,αγρια κνηκος,SUBSTANCE:1,true,κνηκος,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.780,draft
αγρια μαλαχη,ἀγρία μαλάχη,αγρια μαλαχη,SUBSTANCE:4,true,μαλαχη,,2,4,4,GAL_ALIM;PAUL_AEG,Galen;Paul,entries_full_v3;paul_full_v3,0.828,draft
αγρια μηκων,ἀγρία μήκων,αγρια μηκων,SUBSTANCE:3,true,μηκων,,1,3,3,DIOSC_DMM,Dioscorides,diosc_full_v3,0.800,draft
αγρια μηλεα,ἀγρία μηλέα,αγρια μηλεα,SUBSTANCE:3,true,μηλεα,,3,3,3,GAL_SMT;ORIB_CM;PAUL_AEG,Galen;Oribasius;Paul,entries_full_v3;paul_full_v3,0.743,draft
αγρια ραφανος,ἀγρία ῥάφανος,αγρια ραφανος,SUBSTANCE:1,true,ραφανος,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.820,draft
αγρια ροα,ἀγρία ῥόα,αγρια ροα,SUBSTANCE:1,true,ροα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.800,draft
αγρια ροια,ἀγρία ῥοιά,αγρια ροια,SUBSTANCE:1,true,ροια,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.800,draft
αγρια σερις,ἀγρία σέρις,αγρια σερις,SUBSTANCE:1,true,σερις,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.780,draft
αγρια σταφυλη,ἀγρία σταφυλή,αγρια σταφυλη,SUBSTANCE:1,true,σταφυλη,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αγρια συκη,ἀγρία συκῆ,αγρια συκη,SUBSTANCE:1,true,συκη,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.900,draft
αγριας αμπελου καρπος,ἀγρίας ἀμπέλου καρπός,αγριας αμπελου καρπος,SUBSTANCE_PART:1,true,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αγριας ναρδου της ριζης,ἀγρίας νάρδου τῆς ῥίζης,αγριας ναρδου της ριζης,SUBSTANCE_PART:1,true,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αγριας ροιας ανθος,ἀγρίας ῥοιᾶς ἄνθος,αγριας ροιας ανθος,SUBSTANCE_PART:1,true,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.880,draft
αγριας συκης κλαδων,ἀγρίας συκῆς κλάδων,αγριας συκης κλαδων,SUBSTANCE_PART:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
αγριελαια,ἄγριελαία,αγριελαια,SUBSTANCE:2,false,,,1,2,2,DIOSC_DMM,Dioscorides,diosc_full_v3,0.860,draft
