entry_id,token,context
GAL_SMT-6.5.4,πεπλυμένον,lemma_gr: ἔλαιον; ἔλαιον ἐκ τῆς ἐλαίας; ἔλαιον ἐκ δρυπετοῦς τοῦ καρποῦ; γλυκύτατον ἔλαιον; ὠμοτριβὲς ἔλαιον; ὀμφάκινον ἔλαιον; ἔλαιον παλαιόν; ἔλαιον τὸ ἀπὸ τῆς Ἰβηρίας κομιζόμενον; Σπανὸ...
ORIB_CM-15.1.2.9,ξηρός,var_par_prod_gr: καρπὸς ξηρός
ORIB_CM-15.1.5.5,πεπλυμένον,var_par_prod_gr: πεπλυμένον
ORIB_CM-15.1.12.13,ἑψηθέν,var_par_prod_gr: ἑψηθέν
ORIB_CM-15.2.30,ξηροτέρων,"var_par_prod_gr: ξηροτέρων, θερμοτέρων"
ORIB_CM-15.2.61,ἑψηθέντα,"var_par_prod_gr: λέκιθος, ἑψηθέντα, ὀπτηθέντα"
AET_LM-1.12,πεπλυμένη,"var_par_prod_gr: πεπλυμένη, ἄπλυτος"
AET_LM-1.37,ξηρόν,"var_par_prod_gr: κόμη, ῥίζα, κεκαυμένον, χλωρόν, ξηρόν"
AET_LM-1.38,ξηρόν,"var_par_prod_gr: ἄνθος, χλωρόν, ξηρόν"
AET_LM-1.166,ξηρός,"var_par_prod_gr: ξηρός, μέλας"
AET_LM-1.233,ξηρός,"var_par_prod_gr: σάρξ, λέπος, χλωρός, ξηρός"
AET_LM-2.57,πεπλυμένη,"var_par_prod_gr: βοτρυῖτις, κεκαυμένη, πεπλυμένη"
AET_LM-2.66,πεπλυμένος,"var_par_prod_gr: χυλός, κεκαυμένος, πεπλυμένος"
AET_LM-2.67,πεπλυμένη,var_par_prod_gr: πεπλυμένη
AET_LM-2.78,πεπλυμένη,"var_par_prod_gr: κεκαυμένη, πεπλυμένη"
AET_LM-2.79,πεπλυμένος,var_par_prod_gr: πεπλυμένος
AET_LM-2.95,ἕψησις,"lemma_gr: γάλα, ἕψησις"
AET_LM-2.95,ἑψήσεως,chapter_gr: περὶ ἑψήσεως γάλακτος. Γαληνοῦ
AET_LM-2.159,πεπλυμένα,"var_par_prod_gr: ῥυπαρά, οἰσυπηρά, πεπλυμένα, κεκαυμένα"
