book,chapter,section,subsection,line,contents
15,1,25,1,1,"Γῆ πᾶσα ξηραντικὴν ἔχει δύναμιν, καὶ ὅταν γε ἀκριβῶς ᾖ πυρώδους ἄμικτος οὐσίας, ἀδηκτότατα ξηραίνει· συντελεῖ δ' εἰς τοῦτο αὐτῇ τὸ πεπλύσθαι."
15,1,25,2,1,Ἡ δὲ Σαμία γῆ ψυκτικὴν μετρίως ἔχει δύναμιν.
15,1,25,3,1,Ῥυπτικὴν δὲ δύναμιν ἔχει μετρίαν πάνυ Σελινουσία τε γῆ καὶ Χία καὶ χωρὶς θάλψεως ἢ ψύξεως ἐπιφανοῦς.
15,1,25,4,1,"Ἡ δὲ Κιμωλία μικτῆς οὖσα δυνάμεως ἔχει μέν τι καὶ ψυκτικόν, ἔχει δέ τι καὶ διαφορητικὸν βραχύ· διὸ πλυθεῖσα μὲν ἀποτίθεται τοῦτο, χωρὶς δὲ τοῦ πλυθῆναι κατ' ἀμφοτέρας ἐνεργεῖ τὰς δυνάμεις."
15,1,25,5,1,"παρὰ δὲ τὴν τῶν μιγνυμένων ὑγρῶν αὐτῇ δύναμιν ἐναργῶς ἐπιδείκνυται τῶν δυνάμεων ἑκατέραν· τοῖς μὲν γὰρ ἀποκρουομένοις καὶ ψύχουσι μιχθεῖσα τὸν γινόμενον ἐξ αὐτῆς τε κἀκείνων πηλὸν ἐργάζεται ψύχοντά τε καὶ ἀποκρουόμενον, τοῖς δὲ διαφορητικοῖς διαφοροῦντα."
15,1,25,6,1,"Ἡ δ' ἀμπελῖτις γῆ φαρμακωδεστέρα τυγχάνουσα ξηραίνει καὶ διαφορεῖ, τὸ ἄδηκτον καὶ παρηγορικὸν οὐκ ἔχουσα, καθάπερ ἡ Σαμία τε καὶ ἡ Χία καὶ ἡ Σελινουσία."
15,1,25,7,1,"Καὶ ἡ Κιμωλία δὲ βραχὺ τούτων ἰσχυροτέρα τυγχάνουσα ἄδηκτός ἐστιν ἔτι, καὶ μάλιστα εἰ πλυθείη."
15,1,25,8,1,"Καὶ ἡ Κρητικὴ δὲ γῆ παραπλησία πώς ἐστι ταύταις, ἀλλ' ἱκανῶς ἀσθενὴς ὑπάρχει, πολὺ τὸ ἀερῶδες ἔχουσα· τὸ μέντοι ῥυπτικὸν ἔχει."
15,1,25,8,1,Τούτων δὲ πασῶν ἡ Λημνία δύναμιν ἰσχυροτέραν ἔχει· πρόσεστι γὰρ αὐτῇ <τι> καὶ στύψεως.
15,1,25,10,1,"Ἡ δ' Ἐρετριὰς ἔτι καὶ ταύτης ἰσχυροτέρα, οὐ μὴν ὥστε ἤδη δάκνειν· ἂν δὲ καὶ πλυθῇ, πάνυ μετρία γίνεται παραπλησίως ταῖς προειρημέναις. καὶ μέντοι καὶ καίουσιν αὐτὴν ἔνιοι ποιοῦντες λεπτομερεστέραν, ὡς ἐς τὴν διαφορητικὴν μεταπίπτειν δύναμιν."
15,1,25,12,1,"εἰ δὲ πλυθείη καυθεῖσα, ἀποτίθεται μὲν τὸ δριμύ, τὸ δ' ἐκ τῆς ὀπτήσεως λεπτομερὲς ἔχουσα ξηραντικωτέρα γίνεται."
15,1,25,13,1,"Ἔστι δὲ καὶ ἄλλη γῆ ἰπνῖτις ὀνομαζομένη, κατὰ μὲν τὴν ὅλην δύναμιν ἐοικυῖα τῇ Κιμωλίᾳ, κατὰ δὲ τὴν χρόαν μέλαινα ὁμοίως τῇ ἀμπελίτιδι."
15,1,25,14,1,"Ἔστι δὲ καὶ ἄλλη τις ἐξ Ἀρμενίας τῆς ὁμόρου Καππαδοκίας γῆ ξηραντικωτάτη, τὴν χρόαν ὠχρά, εὐλειοτάτη καθάπερ ἡ τίτανος."
15,1,25,15,1,"ὀνομάζεται δὲ τῇ μὲν ἐκείνων φωνῇ ζάρινα, κατὰ δὲ τὴν Συρίαν ζάρναχα, τὸ δ' ὄρος ἐν ᾧ γεννᾶται πόλεώς ἐστιν ὀνομαζομένης Βαγαουάνα, ὁ δ' ἀγρὸς ἐν ᾧ τὸ ὄρος Ἀγάρρα."
